model,ablation,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,value,trainable_parameters,backend,world,benchmark
engineered_linear,none,5,4,1,201,101,201,301,test,all,mae,0.5739878975481918,17,,informative_observation,low_n
engineered_linear,none,5,4,1,201,101,201,301,test,all,rmse,0.9070326667813455,17,,informative_observation,low_n
flow_jump,no_flow,5,4,1,201,101,201,301,test,all,coverage_90,0.7018499715198494,6967,,informative_observation,low_n
flow_jump,no_flow,5,4,1,201,101,201,301,test,all,event_brier,0.1462083604183964,6967,,informative_observation,low_n
flow_jump,no_flow,5,4,1,201,101,201,301,test,all,event_log_loss,0.4749539578989545,6967,,informative_observation,low_n
flow_jump,no_flow,5,4,1,201,101,201,301,test,all,event_roc_auc,0.49595732728059055,6967,,informative_observation,low_n
flow_jump,no_flow,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.5698624038327588,6967,,informative_observation,low_n
flow_jump,no_flow,5,4,1,201,101,201,301,test,all,mae,0.5720758438110352,6967,,informative_observation,low_n
flow_jump,no_flow,5,4,1,201,101,201,301,test,all,nll,2.444928333967057,6967,,informative_observation,low_n
flow_jump,no_flow,5,4,1,201,101,201,301,test,all,rmse,1.0173028438114762,6967,,informative_observation,low_n
flow_jump,no_jump,5,4,1,201,101,201,301,test,all,coverage_90,0.8481636494217292,4879,,informative_observation,low_n
flow_jump,no_jump,5,4,1,201,101,201,301,test,all,event_brier,0.13897038547984822,4879,,informative_observation,low_n
flow_jump,no_jump,5,4,1,201,101,201,301,test,all,event_log_loss,0.45411610212042375,4879,,informative_observation,low_n
flow_jump,no_jump,5,4,1,201,101,201,301,test,all,event_roc_auc,0.4949962611329207,4879,,informative_observation,low_n
flow_jump,no_jump,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.5745211693351588,4879,,informative_observation,low_n
flow_jump,no_jump,5,4,1,201,101,201,301,test,all,mae,0.583840548992157,4879,,informative_observation,low_n
flow_jump,no_jump,5,4,1,201,101,201,301,test,all,nll,1.4353337418636214,4879,,informative_observation,low_n
flow_jump,no_jump,5,4,1,201,101,201,301,test,all,rmse,0.9984163619357437,4879,,informative_observation,low_n
flow_jump,no_prob_scale,5,4,1,201,101,201,301,test,all,coverage_90,0.8858317442234825,6967,,informative_observation,low_n
flow_jump,no_prob_scale,5,4,1,201,101,201,301,test,all,event_brier,0.1726758403440837,6967,,informative_observation,low_n
flow_jump,no_prob_scale,5,4,1,201,101,201,301,test,all,event_log_loss,0.5346836139822726,6967,,informative_observation,low_n
flow_jump,no_prob_scale,5,4,1,201,101,201,301,test,all,event_roc_auc,0.5119435652524881,6967,,informative_observation,low_n
flow_jump,no_prob_scale,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.5780224099926362,6967,,informative_observation,low_n
flow_jump,no_prob_scale,5,4,1,201,101,201,301,test,all,mae,0.6615278720855713,6967,,informative_observation,low_n
