model,ablation,metric,world,n_train,site_or_shift,mean_full,mean_ablated,mean_raw_delta,median_raw_delta,sd_raw_delta,mean_oriented_component_benefit,median_oriented_component_benefit,n
flow_jump,no_flow,mae,informative_observation,5,all,0.6902120232582092,0.6392025947570801,-0.05100942850112915,0.007199585437774658,0.10163953848567558,-0.05100942850112915,0.007199585437774658,5
flow_jump_observation,no_flow,mae,informative_observation,5,all,0.6883990406990051,0.6403466582298278,-0.04805238246917724,0.009509801864624023,0.09702510208112262,-0.04805238246917724,0.009509801864624023,5
flow_jump,no_flow,mae,informative_observation,10,all,0.6910734891891479,0.6162127256393433,-0.07486076354980468,-0.07291340827941895,0.06010512634038186,-0.07486076354980468,-0.07291340827941895,5
flow_jump_observation,no_flow,mae,informative_observation,10,all,0.6907683491706849,0.6143296718597412,-0.0764386773109436,-0.06990557909011841,0.06356962670203577,-0.0764386773109436,-0.06990557909011841,5
flow_jump,no_flow,mae,informative_observation,20,all,0.6061246275901795,0.6047715187072754,-0.0013531088829040528,-0.013677775859832764,0.04396051541101809,-0.0013531088829040528,-0.013677775859832764,5
flow_jump_observation,no_flow,mae,informative_observation,20,all,0.6064669728279114,0.6039549112319946,-0.002512061595916748,-0.012877821922302246,0.04423620872761385,-0.002512061595916748,-0.012877821922302246,5
flow_jump,no_flow,mae,informative_observation,40,all,0.6346322655677795,0.6282225608825683,-0.00640970468521117,-0.01842343807220459,0.06121143108681285,-0.00640970468521117,-0.01842343807220459,5
flow_jump_observation,no_flow,mae,informative_observation,40,all,0.6338182926177979,0.6282244682312011,-0.005593824386596669,-0.018486738204956055,0.06265907275911008,-0.005593824386596669,-0.018486738204956055,5
flow_jump,no_flow,mae,informative_observation,80,all,0.5272875607013703,0.5654570579528808,0.03816949725151064,0.0735466480255127,0.09834765664102971,0.03816949725151064,0.0735466480255127,5
flow_jump_observation,no_flow,mae,informative_observation,80,all,0.5239193379878998,0.5643558740615845,0.040436536073684706,0.07965725660324097,0.09765627323040188,0.040436536073684706,0.07965725660324097,5
flow_jump,no_flow,mae,informative_observation,100,all,0.44698319435119627,0.5524393081665039,0.10545611381530762,0.09825372695922852,0.03380478722417899,0.10545611381530762,0.09825372695922852,5
flow_jump_observation,no_flow,mae,informative_observation,100,all,0.4422411024570465,0.5511710345745087,0.10892993211746216,0.09583714604377741,0.03179922839774394,0.10892993211746216,0.09583714604377741,5
flow_jump,no_flow,mae,jumps,5,all,1.181872797012329,1.149252986907959,-0.032619810104370164,-0.04750597476959251,0.06923923178528761,-0.032619810104370164,-0.04750597476959251,5
flow_jump_observation,no_flow,mae,jumps,5,all,1.1805894374847412,1.1492852687835693,-0.03130416870117183,-0.04750168323516846,0.06753277615456733,-0.03130416870117183,-0.04750168323516846,5
flow_jump,no_flow,mae,jumps,10,all,1.0791406154632568,1.1048174142837524,0.025676798820495606,0.016732096672058105,0.022196684535985556,0.025676798820495606,0.016732096672058105,5
flow_jump_observation,no_flow,mae,jumps,10,all,1.0783649802207946,1.1047580361366272,0.026393055915832474,0.016773700714111106,0.02116787754558648,0.026393055915832474,0.016773700714111106,5
flow_jump,no_flow,mae,jumps,20,all,1.1309436082839965,1.1365274906158447,0.0055838823318481,0.020242810249328613,0.04506655411374889,0.0055838823318481,0.020242810249328613,5
flow_jump_observation,no_flow,mae,jumps,20,all,1.1312163591384887,1.1365973949432373,0.0053810358047485796,0.0208127498626709,0.044707537250357456,0.0053810358047485796,0.0208127498626709,5
flow_jump,no_flow,mae,jumps,40,all,1.1049762964248657,1.1096889615058898,0.00471266508102417,0.034642577171325684,0.09867115042544268,0.00471266508102417,0.034642577171325684,5
flow_jump_observation,no_flow,mae,jumps,40,all,1.104918360710144,1.10967059135437,0.004752230644226118,0.03471791744232178,0.09851647253961048,0.004752230644226118,0.03471791744232178,5
flow_jump,no_flow,mae,jumps,80,all,1.0480615139007567,1.117303740978241,0.06924222707748415,0.0717475414276123,0.07759054417786417,0.06924222707748415,0.0717475414276123,5
flow_jump_observation,no_flow,mae,jumps,80,all,1.0479094505310058,1.117286479473114,0.06937702894210815,0.07210850715637207,0.07764336411346962,0.06937702894210815,0.07210850715637207,5
flow_jump,no_flow,mae,jumps,100,all,0.9971213102340698,1.0977903246879577,0.10066901445388794,0.10241210460662842,0.0439610033234209,0.10066901445388794,0.10241210460662842,5
flow_jump_observation,no_flow,mae,jumps,100,all,0.996588921546936,1.0977645635604858,0.10117564201354981,0.10360157489776611,0.044202630502537386,0.10117564201354981,0.10360157489776611,5
flow_jump,no_flow,mae,misspecified,5,all,1.8273665189743042,1.8388071060180664,0.011440587043762163,-0.007237553596496582,0.040912411234975604,0.011440587043762163,-0.007237553596496582,5
flow_jump_observation,no_flow,mae,misspecified,5,all,1.8390284776687622,1.83845055103302,-0.0005779266357420099,-0.015609264373778409,0.048243062881659714,-0.0005779266357420099,-0.015609264373778409,5
flow_jump,no_flow,mae,misspecified,10,all,1.866967248916626,1.7808937072753905,-0.0860735416412353,-0.03470015525817849,0.17706257126384856,-0.0860735416412353,-0.03470015525817849,5
flow_jump_observation,no_flow,mae,misspecified,10,all,1.8669105529785157,1.7793391466140747,-0.08757140636444113,-0.034694075584412065,0.17579629239735764,-0.08757140636444113,-0.034694075584412065,5
flow_jump,no_flow,mae,misspecified,20,all,1.6023372888565064,1.6956483602523804,0.09331107139587402,0.06405472755432129,0.1935917974622773,0.09331107139587402,0.06405472755432129,5
flow_jump_observation,no_flow,mae,misspecified,20,all,1.5849903106689454,1.6951066255569458,0.11011631488800044,0.06471967697143555,0.17194694269155292,0.11011631488800044,0.06471967697143555,5
flow_jump,no_flow,mae,misspecified,40,all,1.6755884408950805,1.698091745376587,0.022503304481506302,0.05638003349304199,0.08721166617780964,0.022503304481506302,0.05638003349304199,5
flow_jump_observation,no_flow,mae,misspecified,40,all,1.674325704574585,1.697870945930481,0.02354524135589604,0.05657756328582764,0.08675416866383202,0.02354524135589604,0.05657756328582764,5
flow_jump,no_flow,mae,misspecified,80,all,1.4711745023727416,1.6704457759857179,0.19927127361297609,0.1844954490661621,0.11364593303901471,0.19927127361297609,0.1844954490661621,5
flow_jump_observation,no_flow,mae,misspecified,80,all,1.4675967693328857,1.66974995136261,0.20215318202972415,0.19461369514465332,0.10700326496053847,0.20215318202972415,0.19461369514465332,5
flow_jump,no_flow,mae,misspecified,100,all,1.6109678506851197,1.6840688467025757,0.07310099601745615,0.04408991336822532,0.08602217578913195,0.07310099601745615,0.04408991336822532,5
flow_jump_observation,no_flow,mae,misspecified,100,all,1.6218761444091796,1.683488655090332,0.06161251068115239,0.044107675552368386,0.09611957608433687,0.06161251068115239,0.044107675552368386,5
flow_jump,no_flow,mae,site_shift,5,all,0.6767417669296265,0.6465125441551208,-0.030229222774505616,0.01729261875152588,0.11196444930488274,-0.030229222774505616,0.01729261875152588,5
flow_jump_observation,no_flow,mae,site_shift,5,all,0.6751914620399475,0.6463103532791138,-0.02888110876083374,0.02187514305114746,0.11311262751982747,-0.02888110876083374,0.02187514305114746,5
flow_jump,no_flow,mae,site_shift,10,all,0.6888314604759216,0.6395365238189697,-0.04929493665695191,-0.02415531873703003,0.12763504052274352,-0.04929493665695191,-0.02415531873703003,5
flow_jump_observation,no_flow,mae,site_shift,10,all,0.6825292706489563,0.6392316341400146,-0.04329763650894165,-0.02481168508529663,0.13660522944229772,-0.04329763650894165,-0.02481168508529663,5
flow_jump,no_flow,mae,site_shift,20,all,0.6124495506286621,0.5980360627174377,-0.014413487911224366,-0.018722236156463623,0.02346564973290908,-0.014413487911224366,-0.018722236156463623,5
flow_jump_observation,no_flow,mae,site_shift,20,all,0.6108365774154663,0.5975556612014771,-0.013280916213989257,-0.018654465675354004,0.024555976715182018,-0.013280916213989257,-0.018654465675354004,5
flow_jump,no_flow,mae,site_shift,40,all,0.5984388172626496,0.6152811765670776,0.016842359304428112,-0.008553683757781982,0.08068795987773232,0.016842359304428112,-0.008553683757781982,5
flow_jump_observation,no_flow,mae,site_shift,40,all,0.5980675399303437,0.6146027684211731,0.016535228490829466,-0.010725080966949463,0.08136566711072361,0.016535228490829466,-0.010725080966949463,5
flow_jump,no_flow,mae,site_shift,80,all,0.49622865319252013,0.5646533608436585,0.06842470765113831,0.06252488493919378,0.06303007873736259,0.06842470765113831,0.06252488493919378,5
flow_jump_observation,no_flow,mae,site_shift,80,all,0.49722321033477784,0.5640774726867676,0.06685426235198977,0.054082065820694025,0.06347933784829919,0.06685426235198977,0.054082065820694025,5
flow_jump,no_flow,mae,site_shift,100,all,0.44852811098098755,0.5578392624855042,0.10931115150451662,0.0981084406375885,0.04373791147684628,0.10931115150451662,0.0981084406375885,5
flow_jump_observation,no_flow,mae,site_shift,100,all,0.4464406371116638,0.5569812297821045,0.11054059267044067,0.10037419199943542,0.04275026962441404,0.11054059267044067,0.10037419199943542,5
flow_jump,no_flow,mae,smooth,5,all,0.36677074432373047,0.37029326558113096,0.0035225212574004905,-0.0009913146495819092,0.01448586090289794,0.0035225212574004905,-0.0009913146495819092,5
flow_jump_observation,no_flow,mae,smooth,5,all,0.36688383221626275,0.37015908360481264,0.003275251388549838,0.0004115402698517401,0.014730652899364795,0.003275251388549838,0.0004115402698517401,5
flow_jump,no_flow,mae,smooth,10,all,0.33805795907974245,0.3318825840950012,-0.006175374984741222,-0.006157964468002319,0.012757053953317896,-0.006175374984741222,-0.006157964468002319,5
flow_jump_observation,no_flow,mae,smooth,10,all,0.33712295889854427,0.3319030344486237,-0.005219924449920643,-0.005993604660034124,0.01248437523994264,-0.005219924449920643,-0.005993604660034124,5
flow_jump,no_flow,mae,smooth,20,all,0.3316520988941193,0.3249764919281005,-0.0066756069660186875,-0.006375133991241511,0.013306478724088093,-0.0066756069660186875,-0.006375133991241511,5
flow_jump_observation,no_flow,mae,smooth,20,all,0.33165609240531924,0.32489684224128723,-0.006759250164031982,-0.00630265474319458,0.013281223852073781,-0.006759250164031982,-0.00630265474319458,5
flow_jump,no_flow,mae,smooth,40,all,0.3206303477287292,0.3145551681518554,-0.006075179576873813,-0.00607830286026001,0.010431861821510643,-0.006075179576873813,-0.00607830286026001,5
flow_jump_observation,no_flow,mae,smooth,40,all,0.32090837955474855,0.31453353762626646,-0.006374841928482078,-0.006100267171859797,0.010753409890662851,-0.006374841928482078,-0.006100267171859797,5
flow_jump,no_flow,mae,smooth,80,all,0.29327683448791503,0.3118425071239471,0.018565672636032083,0.013656705617904608,0.017738850250013663,0.018565672636032083,0.013656705617904608,5
flow_jump_observation,no_flow,mae,smooth,80,all,0.29296875,0.3118735373020172,0.018904787302017223,0.0134324431419372,0.017754747670513115,0.018904787302017223,0.0134324431419372,5
flow_jump,no_flow,mae,smooth,100,all,0.29236813187599175,0.3070318937301636,0.014663761854171776,0.020609855651855524,0.01706145106812757,0.014663761854171776,0.020609855651855524,5
flow_jump_observation,no_flow,mae,smooth,100,all,0.2915200531482696,0.3069609403610229,0.015440887212753296,0.021953731775283758,0.01761671546252839,0.015440887212753296,0.021953731775283758,5
flow_jump,no_jump,mae,informative_observation,5,all,0.6902120232582092,0.7664379596710205,0.07622593641281131,0.07821065187454224,0.18197197268185883,0.07622593641281131,0.07821065187454224,5
flow_jump_observation,no_jump,mae,informative_observation,5,all,0.6883990406990051,0.7629404425621032,0.07454140186309813,0.06641340255737305,0.18396897202627222,0.07454140186309813,0.06641340255737305,5
flow_jump,no_jump,mae,informative_observation,10,all,0.6910734891891479,0.8217045664787292,0.1306310772895813,-0.009988129138946533,0.20788285387516842,0.1306310772895813,-0.009988129138946533,5
flow_jump_observation,no_jump,mae,informative_observation,10,all,0.6907683491706849,0.8218330264091491,0.13106467723846438,-0.00878685712814331,0.2071883479640989,0.13106467723846438,-0.00878685712814331,5
flow_jump,no_jump,mae,informative_observation,20,all,0.6061246275901795,0.6832541823387146,0.07712955474853515,0.070198655128479,0.13188938621721055,0.07712955474853515,0.070198655128479,5
flow_jump_observation,no_jump,mae,informative_observation,20,all,0.6064669728279114,0.6838040232658387,0.07733705043792724,0.07132530212402344,0.130855332362514,0.07733705043792724,0.07132530212402344,5
flow_jump,no_jump,mae,informative_observation,40,all,0.6346322655677795,0.6825421094894409,0.04790984392166138,-0.04678279161453247,0.17422825152799876,0.04790984392166138,-0.04678279161453247,5
flow_jump_observation,no_jump,mae,informative_observation,40,all,0.6338182926177979,0.6824073672294617,0.048589074611663854,-0.041927635669708196,0.17404974394136957,0.048589074611663854,-0.041927635669708196,5
flow_jump,no_jump,mae,informative_observation,80,all,0.5272875607013703,0.6516607105731964,0.12437314987182617,0.05808711051940918,0.13021410660898491,0.12437314987182617,0.05808711051940918,5
flow_jump_observation,no_jump,mae,informative_observation,80,all,0.5239193379878998,0.6505127727985383,0.12659343481063842,0.05682945251464844,0.1333472481298744,0.12659343481063842,0.05682945251464844,5
flow_jump,no_jump,mae,informative_observation,100,all,0.44698319435119627,0.4474553525447845,0.00047215819358825684,0.024513542652130127,0.0581515734163996,0.00047215819358825684,0.024513542652130127,5
flow_jump_observation,no_jump,mae,informative_observation,100,all,0.4422411024570465,0.44244489073753357,0.00020378828048704943,0.028708845376968384,0.056708402637898114,0.00020378828048704943,0.028708845376968384,5
flow_jump,no_jump,mae,jumps,5,all,1.181872797012329,1.202721655368805,0.020848858356475854,-0.07252573966980003,0.23728945466379878,0.020848858356475854,-0.07252573966980003,5
flow_jump_observation,no_jump,mae,jumps,5,all,1.1805894374847412,1.208677887916565,0.02808845043182375,-0.06199145317077637,0.2339820070298674,0.02808845043182375,-0.06199145317077637,5
flow_jump,no_jump,mae,jumps,10,all,1.0791406154632568,1.0532325744628905,-0.025908041000366235,-0.020001471042632946,0.26035316001917086,-0.025908041000366235,-0.020001471042632946,5
flow_jump_observation,no_jump,mae,jumps,10,all,1.0783649802207946,1.0527294993400573,-0.02563548088073737,-0.021253585815429576,0.2609317117446746,-0.02563548088073737,-0.021253585815429576,5
flow_jump,no_jump,mae,jumps,20,all,1.1309436082839965,1.1443305730819702,0.013386964797973567,-0.07805997133254994,0.24554715370430688,0.013386964797973567,-0.07805997133254994,5
flow_jump_observation,no_jump,mae,jumps,20,all,1.1312163591384887,1.1450048685073853,0.013788509368896551,-0.07502752542495716,0.24422399928465002,0.013788509368896551,-0.07502752542495716,5
flow_jump,no_jump,mae,jumps,40,all,1.1049762964248657,1.0821574807167054,-0.0228188157081604,0.12467837333679188,0.298683473705588,-0.0228188157081604,0.12467837333679188,5
flow_jump_observation,no_jump,mae,jumps,40,all,1.104918360710144,1.0832965612411498,-0.02162179946899412,0.12497079372405995,0.2985717414342364,-0.02162179946899412,0.12497079372405995,5
flow_jump,no_jump,mae,jumps,80,all,1.0480615139007567,0.9808963179588318,-0.06716519594192509,-0.010203301906585804,0.2705144617257468,-0.06716519594192509,-0.010203301906585804,5
flow_jump_observation,no_jump,mae,jumps,80,all,1.0479094505310058,0.9809084892272949,-0.06700096130371094,-0.008003294467926025,0.27052919157270716,-0.06700096130371094,-0.008003294467926025,5
flow_jump,no_jump,mae,jumps,100,all,0.9971213102340698,0.9856187701225281,-0.011502540111541771,0.008656740188598633,0.2285377959767,-0.011502540111541771,0.008656740188598633,5
flow_jump_observation,no_jump,mae,jumps,100,all,0.996588921546936,0.9808213353157044,-0.015767586231231666,0.009815335273742787,0.23104237943530054,-0.015767586231231666,0.009815335273742787,5
flow_jump,no_jump,mae,misspecified,5,all,1.8273665189743042,1.7858860969543457,-0.041480422019958496,-0.05657875537872337,0.10359710661225134,-0.041480422019958496,-0.05657875537872337,5
flow_jump_observation,no_jump,mae,misspecified,5,all,1.8390284776687622,1.794693398475647,-0.04433507919311506,-0.0631861686706543,0.10191282845004297,-0.04433507919311506,-0.0631861686706543,5
flow_jump,no_jump,mae,misspecified,10,all,1.866967248916626,1.9861143350601196,0.1191470861434937,0.035888671875,0.2864385657927371,0.1191470861434937,0.035888671875,5
