model,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,world,benchmark,ablation,ablated_value,ablated_parameters,full_value,full_parameters,raw_delta_ablated_minus_full,oriented_component_benefit
flow_jump,5,4,1,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.7018499715198494,6967,0.8356571485177939,6967,-0.13380717699794453,0.13380717699794453
flow_jump_observation,5,4,1,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.7021223903514203,7642,0.8358057406077416,7642,-0.13368335025632128,0.13368335025632128
flow_jump,5,4,1,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.8875770273601183,6967,0.8185358639388711,6967,0.06904116342124722,-0.06904116342124722
flow_jump_observation,5,4,1,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.8875523786048805,7642,0.8186837564702982,7642,0.06886862213458222,-0.06886862213458222
flow_jump,5,4,1,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.8134006469953926,6967,0.94262817370846,6967,-0.12922752671306736,0.04397117929614747
flow_jump_observation,5,4,1,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.8203117341437114,7642,0.9429467699245172,7642,-0.12263503578080581,0.03674149593177145
flow_jump,5,4,1,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9642920142126352,6967,0.9640148174281178,6967,0.00027719678451743057,0.00027719678451743057
flow_jump_observation,5,4,1,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9646448101202026,7642,0.9641912153819016,7642,0.00045359473830108854,0.00045359473830108854
flow_jump,5,4,1,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.7977196678646672,6967,0.6705663651010039,6967,0.12715330276366332,-0.12715330276366332
flow_jump_observation,5,4,1,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.7969760812987978,7642,0.6723014004213658,7642,0.12467468087743205,-0.12467468087743205
flow_jump,10,8,2,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.9298892988929888,6967,0.9617623021867804,6967,-0.03187300329379161,-0.03187300329379161
flow_jump_observation,10,8,2,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.9282052552069144,7642,0.961910894276728,7642,-0.03370563906981361,-0.03370563906981361
flow_jump,10,8,2,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.856716785802317,6967,0.8691890559526744,6967,-0.012472270150357345,0.012472270150357345
flow_jump_observation,10,8,2,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.8565195957604141,7642,0.8695341385260045,7642,-0.013014542765590331,0.013014542765590331
flow_jump,10,8,2,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.8336927752181159,6967,0.9645622978139398,6967,-0.13086952259582385,0.0017449269679443713
flow_jump_observation,10,8,2,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.8309969610822469,7642,0.9652730124497598,7642,-0.13427605136751297,0.0037300264679933637
flow_jump,10,8,2,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9029055262958948,6967,0.9665095884887736,6967,-0.06360406219287873,-0.06360406219287873
flow_jump_observation,10,8,2,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9025527303883276,7642,0.9665095884887736,7642,-0.06395685810044593,-0.06395685810044593
flow_jump,10,8,2,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.8907919196926509,6967,0.8949312182426571,6967,-0.004139298550006165,0.004139298550006165
flow_jump_observation,10,8,2,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.8878919320857603,7642,0.8956500185896642,7642,-0.0077580865039038605,0.0077580865039038605
flow_jump,20,16,4,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.8202531018598777,6967,0.7518512097872656,6967,0.06840189207261205,-0.06840189207261205
flow_jump_observation,20,16,4,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.8197825602417098,7642,0.7508853612026053,7642,0.06889719903910452,-0.06889719903910452
flow_jump,20,16,4,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.9019719004190287,6967,0.8250677840769041,6967,0.07690411634212468,-0.07296031550406723
flow_jump_observation,20,16,4,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.9023909292580724,7642,0.8268178456987922,7642,0.07557308355928016,-0.0707912250431354
flow_jump,20,16,4,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9004509361827272,6967,0.8772179198117832,6967,0.023233016370943993,-0.022331144005489634
flow_jump_observation,20,16,4,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9005979805901382,7642,0.8770218606019018,7642,0.023576119988236388,-0.02238015880796007
flow_jump,20,16,4,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9519945568631404,6967,0.9398734974674294,6967,0.012121059395710954,0.012121059395710954
flow_jump_observation,20,16,4,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.952095355693874,7642,0.939974296298163,7642,0.012121059395711065,0.012121059395711065
flow_jump,20,16,4,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.8355930102862809,6967,0.825455446771595,6967,0.010137563514685866,-0.010137563514685866
flow_jump_observation,20,16,4,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.8351716445656215,7642,0.8278597100012393,7642,0.007311934564382283,-0.007311934564382283
flow_jump,40,32,8,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.9287996235667054,6967,0.9149805592015652,6967,0.013819064365140243,0.013819064365140243
flow_jump_observation,40,32,8,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.9288491542633548,7642,0.9150053245498898,7642,0.013843829713464983,0.013843829713464983
flow_jump,40,32,8,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.8917180182400789,6967,0.8728370717278777,6967,0.01888094651220118,-0.01888094651220118
flow_jump_observation,40,32,8,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.8923588858762632,7642,0.8732314518116835,7642,0.01912743406457973,-0.01912743406457973
flow_jump,40,32,8,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9474316243505538,6967,0.9651014606411136,6967,-0.017669836290559737,-0.017669836290559737
flow_jump_observation,40,32,8,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9474806391530242,7642,0.9653220272522302,7642,-0.01784138809920599,-0.01784138809920599
flow_jump,40,32,8,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9576644910919032,6967,0.9547665247083134,6967,0.002897966383589856,0.002897966383589856
