model,ablation,metric,world,n_train,site_or_shift,mean_full,mean_ablated,mean_raw_delta,median_raw_delta,sd_raw_delta,mean_oriented_component_benefit,median_oriented_component_benefit,n
flow_jump,no_flow,coverage_90,informative_observation,5,all,0.8462804737388494,0.8329678655905326,-0.013312608148316784,0.00027719678451743057,0.11688959329887669,-0.0036277826212602225,0.00027719678451743057,5
flow_jump_observation,no_flow,coverage_90,informative_observation,5,all,0.8467857765611649,0.8343214789038026,-0.012464297657362344,0.00045359473830108854,0.11447779858017139,-0.004532972417124093,0.00045359473830108854,5
flow_jump,no_flow,coverage_90,informative_observation,10,all,0.931390892536965,0.8827992611803935,-0.04859163135657154,-0.03187300329379161,0.051369142334151664,-0.015424113963672492,0.0017449269679443713,5
flow_jump_observation,no_flow,coverage_90,informative_observation,10,all,0.931775530466186,0.8812332949047328,-0.05054223556145334,-0.03370563906981361,0.051753227256588416,-0.014631968286554397,0.0037300264679933637,5
flow_jump,no_flow,coverage_90,informative_observation,20,all,0.8438931715829956,0.882052701122211,0.03815952953921551,0.023233016370943993,0.03202255767730853,-0.03234197114022876,-0.022331144005489634,5
flow_jump_observation,no_flow,coverage_90,informative_observation,20,all,0.8445118147605403,0.8820076940698833,0.03749587930934288,0.023576119988236388,0.03234435062663869,-0.03145189161177424,-0.02238015880796007,5
flow_jump,no_flow,coverage_90,informative_observation,40,all,0.9231308771286206,0.9277178685647325,0.004586991436111698,0.0050068162101869484,0.014035167982677212,-0.002965387168768774,0.002897966383589856,5
flow_jump_observation,no_flow,coverage_90,informative_observation,40,all,0.9232185827027408,0.9278907028061839,0.004672120103443112,0.005105961085636435,0.014164364971207124,-0.0029788535223887803,0.0031247637527404004,5
flow_jump,no_flow,coverage_90,informative_observation,80,all,0.908542677233703,0.9183981418406318,0.009855464606928965,0.006690520537202205,0.015203448162724523,-0.004737825363853388,-0.0047572097609069885,5
flow_jump_observation,no_flow,coverage_90,informative_observation,80,all,0.9081523724929899,0.91866311066169,0.01051073816870005,0.007024895242790263,0.014892207496173216,-0.004969771975100512,-0.007024895242790263,5
flow_jump,no_flow,coverage_90,informative_observation,100,all,0.9061507379362927,0.9264339482548939,0.020283210318601207,0.01732673267326723,0.007898249236412662,0.007641052221900946,0.01584914961794437,5
flow_jump_observation,no_flow,coverage_90,informative_observation,100,all,0.9064073332918203,0.9264287671165177,0.020021433824697277,0.018405058327614854,0.00802885164945518,0.008443225996441605,0.01631747596746358,5
flow_jump,no_flow,coverage_90,jumps,5,all,0.8261069337058137,0.7668671709852297,-0.059239762720583976,-0.06083555947233621,0.05636342827446699,0.0715924471378691,0.06083555947233621,5
flow_jump_observation,no_flow,coverage_90,jumps,5,all,0.8219105074573377,0.7671869647164733,-0.05472354274086453,-0.05962380545840096,0.057149218680195984,0.066312368581109,0.05962380545840096,5
flow_jump,no_flow,coverage_90,jumps,10,all,0.8318289348309875,0.8571691719508937,0.02534023711990623,0.01974673850614017,0.02028920440761732,-0.022574333906592005,-0.01974673850614017,5
flow_jump_observation,no_flow,coverage_90,jumps,10,all,0.8296312129294169,0.8572243665058924,0.027593153576475606,0.01966468834614221,0.023309709039036657,-0.02482725036316129,-0.01966468834614221,5
flow_jump,no_flow,coverage_90,jumps,20,all,0.8786331118187085,0.8828355065932036,0.004202394774495089,0.00010940021333039063,0.014866427624610674,0.009035120101732418,0.010520228030073575,5
flow_jump_observation,no_flow,coverage_90,jumps,20,all,0.8793221479341963,0.8835174584024965,0.004195310468300284,0.0001914503733282391,0.01481009231664956,0.009020167054613304,0.011181184764947227,5
flow_jump,no_flow,coverage_90,jumps,40,all,0.8966157208225967,0.9034866199774566,0.006870899154859944,0.02125099143943343,0.025714755979951487,0.010581896161747983,0.02125099143943343,5
flow_jump_observation,no_flow,coverage_90,jumps,40,all,0.8967530884668278,0.9035088935619612,0.006755805095133316,0.021086891119437512,0.025604650192512835,0.010521488022870229,0.021086891119437512,5
flow_jump,no_flow,coverage_90,jumps,80,all,0.8923340831633656,0.9062031602307682,0.013869077067402636,0.0062472719336535976,0.01567325738840573,-0.006056411822700758,-0.0055563272676760755,5
flow_jump_observation,no_flow,coverage_90,jumps,80,all,0.8923389852330134,0.9061315434610616,0.01379255822804828,0.006001745962461835,0.015796573298759095,-0.006089200703803832,-0.005639672176691146,5
flow_jump,no_flow,coverage_90,jumps,100,all,0.9033790660253198,0.9043811791211894,0.0010021130958696612,0.005590592382473725,0.008923829571467439,-0.005322052896842178,-0.007822115253124706,5
flow_jump_observation,no_flow,coverage_90,jumps,100,all,0.9034721230250404,0.9044147464092536,0.0009426233842130705,0.005590592382473614,0.008908828754609141,-0.005326449225214014,-0.008232366053113727,5
flow_jump,no_flow,coverage_90,misspecified,5,all,0.737265738942422,0.7562880509138921,0.019022311971470196,0.015582301296586998,0.038896004480039735,-0.019022311971470196,-0.015582301296586998,5
flow_jump_observation,no_flow,coverage_90,misspecified,5,all,0.7494566350255778,0.7547497074896434,0.0052930724640656065,0.009300976505849379,0.0212026874414371,-0.0052930724640656065,-0.009300976505849379,5
flow_jump,no_flow,coverage_90,misspecified,10,all,0.762040845146809,0.7599895452506663,-0.0020512998961427,-0.010595407358354514,0.026720607920751913,0.0020512998961427,0.010595407358354514,5
flow_jump_observation,no_flow,coverage_90,misspecified,10,all,0.7622241713225998,0.7597511845164089,-0.0024729868061909464,-0.013711703640223671,0.026783242319865896,0.0024729868061909464,0.013711703640223671,5
flow_jump,no_flow,coverage_90,misspecified,20,all,0.8819066764246685,0.8785894828375522,-0.0033171935871162185,-0.018350575268297198,0.034747766056920294,-0.008938993904851067,-0.012289893461621015,5
flow_jump_observation,no_flow,coverage_90,misspecified,20,all,0.8826251756770755,0.8785865614410758,-0.00403861423599976,-0.017944503528956823,0.03126038993845773,-0.007766887154158408,-0.011569249946438598,5
flow_jump,no_flow,coverage_90,misspecified,40,all,0.8979487106480699,0.9107975970607527,0.012848886412682736,0.005496995369914326,0.03677208708090514,0.0018328119725592007,0.005496995369914326,5
flow_jump_observation,no_flow,coverage_90,misspecified,40,all,0.9000944043956742,0.9111941106042233,0.011099706208549099,0.005556102847010247,0.03365563425212066,0.0026559952249638696,0.006477811079957596,5
flow_jump,no_flow,coverage_90,misspecified,80,all,0.8871848562193394,0.8921984083797756,0.005013552160436263,-0.0006133027341431729,0.01484650819012612,-0.0034297674164230018,0.0006133027341431729,5
flow_jump_observation,no_flow,coverage_90,misspecified,80,all,0.8871133328698313,0.8923661597301324,0.005252826860301152,0.0003758952241522673,0.01515036787452023,-0.003547325555070602,-0.0003758952241522673,5
flow_jump,no_flow,coverage_90,misspecified,100,all,0.9204126612916197,0.9145880912855642,-0.005824570006055363,-0.005359077923357214,0.007549226484519243,-0.005824570006055363,-0.005359077923357214,5
flow_jump_observation,no_flow,coverage_90,misspecified,100,all,0.9205591148826235,0.9145980781048518,-0.005961036777771644,-0.005628810159125752,0.0071791330089623065,-0.005961036777771644,-0.005628810159125752,5
flow_jump,no_flow,coverage_90,site_shift,5,all,0.8266778381926188,0.8369119481575631,0.010234109964944315,0.015601279865473994,0.05063653959994417,-0.011771512987554567,-0.015601279865473994,5
flow_jump_observation,no_flow,coverage_90,site_shift,5,all,0.8263413075136917,0.8370018534388963,0.010660545925204601,0.016161804890580833,0.05142473505554098,-0.012435202500686882,-0.016161804890580833,5
flow_jump,no_flow,coverage_90,site_shift,5,site_0,0.7554571179722726,0.7974677015449421,0.04201058357266951,0.006098913284541929,0.0547249518321876,-0.04042089506568776,-0.006098913284541929,5
flow_jump_observation,no_flow,coverage_90,site_shift,5,site_0,0.7662107569779798,0.7975982910857625,0.0313875341077827,0.007577437717158353,0.0390024654321819,-0.029969703817771955,-0.007577437717158353,5
flow_jump,no_flow,coverage_90,site_shift,5,site_1,0.7420599458305934,0.8190157258004926,0.07695577996989936,0.04910947658280507,0.05787998093266567,-0.06618077444991703,-0.04910947658280507,5
flow_jump_observation,no_flow,coverage_90,site_shift,5,site_1,0.7533775249943022,0.8191968456489033,0.06581932065460101,0.05109005367437536,0.03938417911733726,-0.0549795473418756,-0.05109005367437536,5
flow_jump,no_flow,coverage_90,site_shift,5,site_1_minus_site_0,-0.013397172141679181,0.021548024255550583,0.03494519639722976,0.0375111198935637,0.011786916116050084,-0.03494519639722975,-0.037511119893563705,5
flow_jump_observation,no_flow,coverage_90,site_shift,5,site_1_minus_site_0,-0.012833231983677579,0.021598554563140658,0.034431786546818235,0.0378786931735089,0.00892503808136981,-0.03443178654681822,-0.03787869317350889,5
flow_jump,no_flow,coverage_90,site_shift,10,all,0.8905922295338339,0.8679364170323884,-0.02265581250144553,-0.034562266192974644,0.0311097837625954,-0.006778713824495841,-0.02319172291379601,5
flow_jump_observation,no_flow,coverage_90,site_shift,10,all,0.8843951480407602,0.8666314879035035,-0.017763660137256766,-0.010761783918417311,0.03014486184695849,-0.00044174499867895013,-0.010761783918417311,5
flow_jump,no_flow,coverage_90,site_shift,10,site_0,0.8854301117995647,0.8676443287926411,-0.017785783006923482,0.0018208844295799498,0.033621024782971284,0.020890589477788813,0.0018208844295799498,5
flow_jump_observation,no_flow,coverage_90,site_shift,10,site_0,0.8852904821795768,0.8675536043658619,-0.017736877813714736,0.0016411174517921845,0.033285351043179805,0.021013934592407836,0.0016722408026755842,5
flow_jump,no_flow,coverage_90,site_shift,10,site_1,0.880758235669993,0.8758882726564611,-0.004869963013531864,0.0003685847818715171,0.03232629298109905,0.013177308086746864,0.020099944475291398,5
flow_jump_observation,no_flow,coverage_90,site_shift,10,site_1,0.8809009232064513,0.8757807091184586,-0.005120214087992547,0.00033909799932196893,0.03277421671551581,0.013506084640673377,0.020625578382380105,5
flow_jump,no_flow,coverage_90,site_shift,10,site_1_minus_site_0,-0.004671876129571559,0.00824394386382002,0.012915819993391581,0.0135715752175757,0.011250002694119765,-0.01291581999339162,-0.013571575217575682,5
flow_jump_observation,no_flow,coverage_90,site_shift,10,site_1_minus_site_0,-0.0043895589731254205,0.00822710475259668,0.012616663725722102,0.011609837134235301,0.011626492961146529,-0.012616663725722121,-0.011609837134235246,5
flow_jump,no_flow,coverage_90,site_shift,20,all,0.8596053640916785,0.8732266289244363,0.013621264832757652,0.006097416308809223,0.023741943597379543,-0.009626213053164934,-0.003246829635555115,5
flow_jump_observation,no_flow,coverage_90,site_shift,20,all,0.8589431302675881,0.8734452482907358,0.014502118023147803,0.0060974163088091116,0.024192049013953523,-0.010442267928311289,-0.003129190880643784,5
flow_jump,no_flow,coverage_90,site_shift,20,site_0,0.8774903780420562,0.9013696791857772,0.023879301143720943,0.039464882943143764,0.035256167829309175,-0.0327673832759914,-0.03476548514142497,5
flow_jump_observation,no_flow,coverage_90,site_shift,20,site_0,0.8772501748807844,0.9012176960504004,0.023967521169615914,0.03682645856558897,0.03382898358176359,-0.032143700934047746,-0.03265306122448974,5
flow_jump,no_flow,coverage_90,site_shift,20,site_1,0.8340483321874025,0.8985277827131439,0.06447945052574142,0.07871058371224726,0.053088737977680246,-0.06660009713962359,-0.07871058371224726,5
flow_jump_observation,no_flow,coverage_90,site_shift,20,site_1,0.8347287113540285,0.8982041936878666,0.06347548233383826,0.07885105911056889,0.05065087699493976,-0.06484248062505016,-0.07885105911056889,5
flow_jump,no_flow,coverage_90,site_shift,20,site_1_minus_site_0,-0.043442045854653624,-0.0028418964726332208,0.0406001493820204,0.0342549301170856,0.019942689161057767,-0.04060014938202037,-0.03425493011708558,5
flow_jump_observation,no_flow,coverage_90,site_shift,20,site_1_minus_site_0,-0.04252146352675596,-0.0030135023625336606,0.0395079611642223,0.0338513392016522,0.019040923896913226,-0.03950796116422228,-0.033851339201652175,5
flow_jump,no_flow,coverage_90,site_shift,40,all,0.8986197223645167,0.9255398327369215,0.02692011037240478,0.01113774143521784,0.037653537194421265,-0.0034503164633881587,0.002586063726304322,5
flow_jump_observation,no_flow,coverage_90,site_shift,40,all,0.8981306990736384,0.9253925316727525,0.027261832599114168,0.010879270642417449,0.03802655841468621,-0.004115494924092822,0.00177940164653978,5
flow_jump,no_flow,coverage_90,site_shift,40,site_0,0.9178590906380544,0.9296126123523758,0.011753521714321336,0.010418904403866835,0.0344910414705517,-0.00033727876357594335,-0.004050538833147543,5
flow_jump_observation,no_flow,coverage_90,site_shift,40,site_0,0.9185873723079763,0.9297151224862394,0.011127750178263285,0.009523809523809601,0.03421502386210153,-0.0003692991682484381,-0.002346041055718562,5
