world,n_train,model,site_or_shift,metric,mean,median,sd,minimum,maximum,n
informative_observation,5,flow_jump,all,event_brier,0.15388592016209096,0.1501519293343366,0.020330229416548978,0.1294973546416788,0.1841006567832258,5
informative_observation,5,flow_jump_observation,all,event_brier,0.15402036368864933,0.1501723081931588,0.020284743965175468,0.1291538788884109,0.1839335659575122,5
informative_observation,5,gru_from_scratch,all,event_brier,0.1344474059787994,0.1399927600138343,0.013255964908229195,0.1184886860769062,0.1485117329488605,5
informative_observation,10,flow_jump,all,event_brier,0.1541344850617489,0.1587546199430125,0.014381720790888243,0.134370312483571,0.1690608063128741,5
informative_observation,10,flow_jump_observation,all,event_brier,0.1541545106538484,0.1587347501568194,0.013326493310961623,0.1343017194309025,0.1664722860585554,5
informative_observation,10,gru_from_scratch,all,event_brier,0.12614253827692834,0.1211598078204963,0.011145851438213632,0.1171191274189946,0.1448134672890068,5
informative_observation,20,flow_jump,all,event_brier,0.1306587000429286,0.1248885885707145,0.014906427231618087,0.1202825711944212,0.1569431655705944,5
informative_observation,20,flow_jump_observation,all,event_brier,0.13076555465368755,0.1249602435648124,0.015062254301200643,0.1202845831346224,0.1573263279955775,5
informative_observation,20,gru_from_scratch,all,event_brier,0.1248329453860169,0.12353799079725,0.005268252055309699,0.117856874990216,0.1306527363123269,5
informative_observation,40,flow_jump,all,event_brier,0.15585968434791492,0.1484022054243834,0.02923069799948724,0.1261845315500327,0.2010860020983607,5
informative_observation,40,flow_jump_observation,all,event_brier,0.1560365900333463,0.1485519334287541,0.029259667783171853,0.1264044832751232,0.2011711521797149,5
informative_observation,40,gru_from_scratch,all,event_brier,0.13775651180479787,0.1352944556604826,0.015109779114799942,0.1217961206539916,0.1626395242695692,5
informative_observation,80,flow_jump,all,event_brier,0.127776620481616,0.1243077771919731,0.007756916883813623,0.1190780185856683,0.1366846173649653,5
informative_observation,80,flow_jump_observation,all,event_brier,0.12739642661883865,0.1242806610462556,0.007385863362149915,0.1191218542795468,0.1368935197529722,5
informative_observation,80,gru_from_scratch,all,event_brier,0.1235253185277311,0.1211720595989347,0.006446484002089188,0.1192235227801866,0.1349525762096004,5
informative_observation,100,flow_jump,all,event_brier,0.12374328095466343,0.1235822340357368,0.0026725934380639727,0.1198060788664969,0.1272590996821645,5
informative_observation,100,flow_jump_observation,all,event_brier,0.12378992709059385,0.1236215925558684,0.0026954286892802138,0.1198197937825358,0.1273062206770555,5
informative_observation,100,gru_from_scratch,all,event_brier,0.12031373715339669,0.1199213012450767,0.002104682679724256,0.1175383626282791,0.1230511128651354,5
jumps,5,flow_jump,all,event_brier,0.22304295565304688,0.2195697473397795,0.00785451835312832,0.2178170720097984,0.2368689828277905,5
jumps,5,flow_jump_observation,all,event_brier,0.2228757848763479,0.2195771962860442,0.00798252013552724,0.2177746609181987,0.2368946355156722,5
jumps,5,gru_from_scratch,all,event_brier,0.22193567702561032,0.2203163817351369,0.005970854506899857,0.2145959351380701,0.2295617067929611,5
jumps,10,flow_jump,all,event_brier,0.21979594444545078,0.2203052438021453,0.001092363331776186,0.2185539896369035,0.2208840791757367,5
jumps,10,flow_jump_observation,all,event_brier,0.21987409496234167,0.2202879685338876,0.001164421444418973,0.2185610060028088,0.2209842328190559,5
jumps,10,gru_from_scratch,all,event_brier,0.2188467362593848,0.2191761755273227,0.0019776143029248796,0.2160152261811543,0.2209831088424341,5
jumps,20,flow_jump,all,event_brier,0.22492799814868883,0.2209203290232017,0.011167691917490312,0.215068224001111,0.244086622879447,5
jumps,20,flow_jump_observation,all,event_brier,0.22490532184841378,0.2209427499648805,0.011167292277948146,0.2150713935986925,0.2440852472801173,5
jumps,20,gru_from_scratch,all,event_brier,0.21845123622375215,0.2189338649174713,0.00297282739155424,0.213725975147435,0.2212966283245894,5
jumps,40,flow_jump,all,event_brier,0.2240227561802001,0.21935136784181,0.011626647288207411,0.2149021722783066,0.2439676024236347,5
jumps,40,flow_jump_observation,all,event_brier,0.2240223376059515,0.2193738954896331,0.011627585500758913,0.2149019703113687,0.2439744314893446,5
jumps,40,gru_from_scratch,all,event_brier,0.21708428146155687,0.2173743064978046,0.0032191056748221477,0.2128382936279364,0.2213797751105614,5
jumps,80,flow_jump,all,event_brier,0.2188283184723443,0.2193782475971497,0.002526869217295091,0.2150275233297821,0.2217663758278092,5
jumps,80,flow_jump_observation,all,event_brier,0.2188310713872176,0.2193850352161036,0.0025221404414795547,0.2150286665053754,0.2217555788209894,5
jumps,80,gru_from_scratch,all,event_brier,0.21772969246107832,0.2154127900274519,0.004311687758657141,0.2132226351811243,0.2226753429386866,5
jumps,100,flow_jump,all,event_brier,0.21855539692807663,0.2186446640005604,0.0013014948675389726,0.2170281569702852,0.2201472300306581,5
jumps,100,flow_jump_observation,all,event_brier,0.21855904255657888,0.2186538500293738,0.0013035972141386281,0.2170256103313064,0.2201415798190357,5
jumps,100,gru_from_scratch,all,event_brier,0.21676117022789088,0.2161125032108843,0.0029536557382003606,0.2132448313971022,0.2207379463909494,5
misspecified,5,flow_jump,all,event_brier,0.2150785754722712,0.2100786468860481,0.019226130168009427,0.1962693607734841,0.2438040771080282,5
misspecified,5,flow_jump_observation,all,event_brier,0.21443487745871184,0.2100510355245954,0.019745912588510037,0.1961117018763079,0.2437576622789305,5
