world,n_train,engineered_linear,flow_jump,flow_jump_observation,gradient_boosting,gru_from_scratch,representation_linear,representation_mlp,flow_jump_beats_both_primary_comparators,flow_jump_beats_both_on_mean,gate_flag_matches_recomputation
informative_observation,5,0.6844869289873505,0.6902120232582092,0.6883990406990051,0.4338506922026643,0.5729923903942108,0.7015783296319974,1.861266397124981,False,False,True
informative_observation,10,0.6694026041484304,0.6910734891891479,0.6907683491706849,0.3544981706445296,0.5447296857833862,0.7315304721533924,1.4761128797906562,False,False,True
informative_observation,20,0.5976526746722891,0.6061246275901795,0.6064669728279114,0.3220596903322058,0.5432728409767151,0.6456389794788291,0.9482045969569108,False,False,True
informative_observation,40,0.5929788603441684,0.6346322655677795,0.6338182926177979,0.2735688707001465,0.5840277373790741,0.629479741994403,0.6952993073547995,False,False,True
informative_observation,80,0.5908801006400426,0.5272875607013703,0.5239193379878998,0.2432688246069386,0.5069966375827789,0.645765611585345,0.6053048278488176,False,False,True
informative_observation,100,0.6024715669342268,0.4469831943511962,0.4422411024570465,0.2324888377924049,0.478266304731369,0.6680111042682741,0.6256558538747171,True,True,True
jumps,5,1.0652412892493472,1.181872797012329,1.1805894374847412,0.756972322654595,1.035741639137268,1.1538910904593889,2.493277163217,False,False,True
jumps,10,0.9927527203203784,1.0791406154632568,1.0783649802207946,0.5858479968179736,0.989876127243042,1.1219235312549845,2.537196568204181,False,False,True
jumps,20,0.9752273198160546,1.1309436082839963,1.1312163591384887,0.5295804065571832,1.0187537908554076,1.1105578989867084,1.869349303794068,False,False,True
jumps,40,0.9749713625744464,1.1049762964248655,1.104918360710144,0.4672326458149256,1.0254778742790225,1.0885851016329584,1.3760251703004394,False,False,True
jumps,80,0.973372753561654,1.0480615139007567,1.0479094505310058,0.3921801191487134,1.0641648888587951,1.0621983234802002,1.2158087137044642,True,True,True
jumps,100,0.9777376016356047,0.9971213102340698,0.996588921546936,0.3798966494113521,0.9796079516410828,1.0676611592639729,1.1597462870415665,False,False,True
misspecified,5,1.451050124407715,1.827366518974304,1.8390284776687624,0.9933087980986616,1.6629499912261962,1.554235547012611,3.217158717311816,False,False,True
misspecified,10,1.2657548238135634,1.866967248916626,1.866910552978516,0.8545125441898257,1.663962435722351,1.577008495586362,2.780288500149213,False,False,True
misspecified,20,1.3003449894401746,1.6023372888565064,1.5849903106689454,0.5150102089210535,1.617629885673523,1.4805645757791182,1.8497019576618,False,False,True
misspecified,40,1.299175630309016,1.6755884408950803,1.674325704574585,0.4355029850980787,1.6167718410491942,1.5151835879603568,1.7812173450461628,False,False,True
misspecified,80,1.2471245200983463,1.4711745023727416,1.4675967693328855,0.3632515474077847,1.4830540895462037,1.4364172882053512,1.5448534442023711,False,False,True
misspecified,100,1.262912998103739,1.6109678506851195,1.6218761444091796,0.3262956232263131,1.5329549074172977,1.4869350867194686,1.5792424674333638,False,False,True
site_shift,5,0.69797174961402,0.6767417669296265,0.6751914620399475,0.4636591308398533,0.609049117565155,0.7493767567385841,1.8223940043966933,False,False,True
site_shift,10,0.7214637663766228,0.6888314604759216,0.6825292706489563,0.3676482458686873,0.5680090129375458,0.8008754801632909,1.4975589459599534,False,False,True
site_shift,20,0.6300761726216129,0.6124495506286621,0.6108365774154663,0.317323751923087,0.5656221628189086,0.6853208466863656,1.163535491659341,False,False,True
site_shift,40,0.6197685154373029,0.5984388172626496,0.5980675399303437,0.2744560482856605,0.5716490626335144,0.6675582338098209,0.8590968176157368,False,False,True
site_shift,80,0.6173791929214747,0.4962286531925201,0.4972232103347778,0.2437285736769681,0.5095283269882203,0.6813440303345732,0.6352271817443694,True,True,True
site_shift,100,0.6304113364822375,0.4485281109809875,0.4464406371116638,0.2302200416765187,0.4873357594013214,0.7033118183021053,0.6732101161551305,True,True,True
smooth,5,0.3719014595951223,0.3667707443237304,0.3668838322162628,0.3101911139807073,0.349574613571167,0.4450219167334758,1.2927912874998913,False,False,True
smooth,10,0.3140971486559843,0.3380579590797424,0.3371229588985443,0.2272220705850873,0.3082295179367065,0.3665753646562615,1.1735670750893263,False,False,True
smooth,20,0.3016987734901067,0.3316520988941193,0.3316560924053192,0.1878967893303395,0.2946683585643768,0.354802589907071,0.7137509196703348,False,False,True
smooth,40,0.3001049361934092,0.3206303477287292,0.3209083795547485,0.173880204388255,0.2707535445690155,0.3428677348891623,0.4979505370471775,False,False,True
smooth,80,0.2965999113834096,0.293276834487915,0.29296875,0.1554257688713511,0.2726121187210083,0.3365207040448489,0.4054810952889829,False,False,True
smooth,100,0.2949066509437457,0.2923681318759918,0.2915200531482697,0.1523218721385966,0.2542539268732071,0.3330652112434306,0.3818054544166381,False,False,True
