world,n_train,model,site_or_shift,metric,mean,median,sd,minimum,maximum,n
informative_observation,5,flow_jump,all,coverage_90,0.8462804737388494,0.8356571485177939,0.11715622194262114,0.6705663651010039,0.9640148174281178,5
informative_observation,5,flow_jump_observation,all,coverage_90,0.8467857765611649,0.8358057406077416,0.11660409078258926,0.6723014004213658,0.9641912153819016,5
informative_observation,5,gru_from_scratch,all,coverage_90,0.7822297324112227,0.7349609617052919,0.11975450133160659,0.6731447897264974,0.9711967341178842,5
informative_observation,10,flow_jump,all,coverage_90,0.931390892536965,0.9617623021867804,0.04597407905991047,0.8691890559526744,0.9665095884887736,5
informative_observation,10,flow_jump_observation,all,coverage_90,0.931775530466186,0.961910894276728,0.04586861595072951,0.8695341385260045,0.9665095884887736,5
informative_observation,10,gru_from_scratch,all,coverage_90,0.865997761456667,0.8369830909961444,0.043802483288292185,0.8323955880530425,0.9214195497659674,5
informative_observation,20,flow_jump,all,coverage_90,0.8438931715829956,0.825455446771595,0.06980119884997726,0.7518512097872656,0.9398734974674294,5
informative_observation,20,flow_jump_observation,all,coverage_90,0.8445118147605403,0.8278597100012393,0.06986821595303078,0.7508853612026053,0.939974296298163,5
informative_observation,20,gru_from_scratch,all,coverage_90,0.8586468744323333,0.8423190272171178,0.06412563563753482,0.7932800705813156,0.9528009475090088,5
informative_observation,40,flow_jump,all,coverage_90,0.9231308771286206,0.9149805592015652,0.03737689170471651,0.8728370717278777,0.9651014606411136,5
informative_observation,40,flow_jump_observation,all,coverage_90,0.9232185827027408,0.9150053245498898,0.037270491259736284,0.8732314518116835,0.9653220272522302,5
informative_observation,40,gru_from_scratch,all,coverage_90,0.928029429528458,0.9294930533197948,0.025887658358056183,0.8995316736504807,0.955396517400398,5
jumps,5,flow_jump,all,coverage_90,0.8261069337058137,0.8382458266762162,0.07889831326956234,0.7402990829225303,0.9086916193801832,5
jumps,5,flow_jump_observation,all,coverage_90,0.8219105074573377,0.8152443391548675,0.07911712852831129,0.7406571011539202,0.9106012658227848,5
jumps,5,gru_from_scratch,all,coverage_90,0.7290242921210982,0.7150725675415164,0.1286183794228612,0.5563274348384979,0.916657573112178,5
