world,n_train,model,site_or_shift,metric,mean,median,sd,minimum,maximum,n
misspecified,5,flow_jump,all,coverage_90,0.737265738942422,0.7547827800216728,0.08250453092027615,0.6146185826162622,0.8157489823344954,5
misspecified,5,flow_jump_observation,all,coverage_90,0.7494566350255778,0.7569303516894887,0.05371721628838808,0.6892971091559509,0.8025758714834013,5
misspecified,5,gru_from_scratch,all,coverage_90,0.7431800130842673,0.756753598348363,0.06404108860571696,0.6530213671081891,0.8244083958369672,5
misspecified,10,flow_jump,all,coverage_90,0.762040845146809,0.7420198848770277,0.08291373150129135,0.6772140675795488,0.89538982918801,5
misspecified,10,flow_jump_observation,all,coverage_90,0.7622241713225998,0.7420392658487897,0.08328700807359424,0.6772140675795488,0.8963441949243325,5
misspecified,10,gru_from_scratch,all,coverage_90,0.8106843984580785,0.7751419656181561,0.07120338967374452,0.7510393502852171,0.8945916658457295,5
misspecified,20,flow_jump,all,coverage_90,0.8819066764246685,0.8878229354419831,0.055232843800952704,0.8028765638853315,0.94175771052886,5
misspecified,20,flow_jump_observation,all,coverage_90,0.8826251756770755,0.887842316413745,0.05306707500948456,0.8089646340262043,0.9418157207773372,5
misspecified,20,gru_from_scratch,all,coverage_90,0.8475007056284799,0.8218697665254655,0.05885789359025551,0.7927828116962766,0.91263656579329,5
misspecified,40,flow_jump,all,coverage_90,0.8979487106480699,0.9014019143381996,0.020955199534625005,0.8622402274896286,0.9160170933407192,5
misspecified,40,flow_jump_observation,all,coverage_90,0.9000944043956742,0.90349028328338,0.018197033764467276,0.8693882320861656,0.9162149329323784,5
misspecified,40,gru_from_scratch,all,coverage_90,0.9087243765513472,0.9072012609595114,0.014363393350628539,0.8902067949686997,0.9305650234696063,5
misspecified,80,flow_jump,all,coverage_90,0.8871848562193394,0.894511929727377,0.012925388009884289,0.8728415353379096,0.9002462811545661,5
misspecified,80,flow_jump_observation,all,coverage_90,0.8871133328698313,0.8933644600957543,0.013242335199160495,0.8721454123561829,0.8989459166584572,5
misspecified,80,gru_from_scratch,all,coverage_90,0.8811086209110652,0.8771020456613777,0.009264758825783976,0.8728802062135396,0.8939808885824057,5
misspecified,100,flow_jump,all,coverage_90,0.9204126612916197,0.9243659241087326,0.007585065730112764,0.9106343392057678,0.9283186696316348,5
misspecified,100,flow_jump_observation,all,coverage_90,0.9205591148826235,0.923614133660428,0.007340495871989648,0.9107118630928156,0.9291501498598086,5
misspecified,100,gru_from_scratch,all,coverage_90,0.9079360435099891,0.904008230127013,0.012761681898194937,0.8916409868790821,0.9253408102098036,5
misspecified,5,flow_jump,all,event_brier,0.2150785754722712,0.2100786468860481,0.019226130168009427,0.1962693607734841,0.2438040771080282,5
misspecified,5,flow_jump_observation,all,event_brier,0.21443487745871184,0.2100510355245954,0.019745912588510037,0.1961117018763079,0.2437576622789305,5
misspecified,5,gru_from_scratch,all,event_brier,0.19865738609569666,0.1950905916611834,0.006256934154421796,0.1934782883707975,0.2065147231315091,5
misspecified,10,flow_jump,all,event_brier,0.22816174298652295,0.2412495367803846,0.023093687315177622,0.198185199417957,0.2508483565694028,5
misspecified,10,flow_jump_observation,all,event_brier,0.228327963832695,0.2412660734813433,0.022862416408466445,0.1984894083663494,0.2507485044870612,5
misspecified,10,gru_from_scratch,all,event_brier,0.2077103400591837,0.1979940253737303,0.020577254736499698,0.1955670386110713,0.2441993318417956,5
misspecified,20,flow_jump,all,event_brier,0.20561573720925663,0.2089400755779431,0.011063336956137941,0.1911666532454252,0.2190932714163107,5
misspecified,20,flow_jump_observation,all,event_brier,0.202154143194974,0.2027599522429613,0.007861011008737963,0.1911314313739362,0.2104799452520979,5
misspecified,20,gru_from_scratch,all,event_brier,0.2168628605556656,0.1968835461841109,0.04421054890377124,0.1938548800108775,0.2957010932936078,5
misspecified,40,flow_jump,all,event_brier,0.20902143455416078,0.1975848853694482,0.026383021082704773,0.1944387409328803,0.2560260225654198,5
misspecified,40,flow_jump_observation,all,event_brier,0.20894391934235065,0.198278662496721,0.025925967973968782,0.1947498330148158,0.2551285938608026,5
misspecified,40,gru_from_scratch,all,event_brier,0.19827181136749888,0.1978102621520605,0.005565541096088622,0.1917466187649079,0.2058892175583299,5
misspecified,80,flow_jump,all,event_brier,0.19604852015102975,0.1971849084203987,0.0035149968506489244,0.1902715009561923,0.1989529908954573,5
misspecified,80,flow_jump_observation,all,event_brier,0.19599311610724798,0.1971966585594485,0.0034586611470910212,0.1903290682673961,0.1989612318826719,5
misspecified,80,gru_from_scratch,all,event_brier,0.1936230520791057,0.1917367533094359,0.004174225810085749,0.1894738130844729,0.1996681323930865,5
misspecified,100,flow_jump,all,event_brier,0.19563696206031186,0.1971231302814078,0.004092226321367052,0.1901363987283436,0.1995739036194662,5
misspecified,100,flow_jump_observation,all,event_brier,0.19800307534877284,0.1972114733612475,0.00773254465924615,0.1901466222373684,0.2098788689852746,5
misspecified,100,gru_from_scratch,all,event_brier,0.19264113863725024,0.192078241023582,0.002583198314124764,0.189652451897957,0.1960756080051122,5
misspecified,5,flow_jump,all,event_log_loss,0.6249611225637774,0.6159121989039144,0.036846294325038165,0.5907990582089294,0.6806853235662144,5
misspecified,5,flow_jump_observation,all,event_log_loss,0.6241383357876575,0.6157158174403076,0.03744363497003295,0.5901931365191637,0.6805930348809497,5
