world,n_train,cohort_seed,subset_seed,model_seed,model,mae,trainable_parameters
informative_observation,5,101,201,301,engineered_linear,0.5739878975481918,17
informative_observation,5,101,201,301,flow_jump,0.6580477356910706,6967
informative_observation,5,101,201,301,flow_jump_observation,0.658004879951477,7642
informative_observation,5,101,201,301,gradient_boosting,0.443556718974102,0
informative_observation,5,101,201,301,gru_from_scratch,0.5628321766853333,4455
informative_observation,5,101,201,301,representation_linear,0.6038936737622393,20
informative_observation,5,101,201,301,representation_mlp,1.200890351320635,673
informative_observation,5,102,202,302,engineered_linear,0.7500295131950075,17
informative_observation,5,102,202,302,flow_jump,0.7140229344367981,6967
informative_observation,5,102,202,302,flow_jump_observation,0.7135358452796936,7642
informative_observation,5,102,202,302,gradient_boosting,0.3822537893280766,0
informative_observation,5,102,202,302,gru_from_scratch,0.5450028777122498,4455
informative_observation,5,102,202,302,representation_linear,0.685791001752338,20
informative_observation,5,102,202,302,representation_mlp,1.1174591056312655,673
informative_observation,5,103,203,303,engineered_linear,0.6465225421981928,17
informative_observation,5,103,203,303,flow_jump,0.7770689725875854,6967
informative_observation,5,103,203,303,flow_jump_observation,0.7764636278152466,7642
informative_observation,5,103,203,303,gradient_boosting,0.4707136960218582,0
informative_observation,5,103,203,303,gru_from_scratch,0.4819954931735992,4455
informative_observation,5,103,203,303,representation_linear,0.6810699024762922,20
informative_observation,5,103,203,303,representation_mlp,1.5793434815026384,673
informative_observation,5,104,204,304,engineered_linear,0.8117948881217225,17
informative_observation,5,104,204,304,flow_jump,0.6417275071144104,6967
informative_observation,5,104,204,304,flow_jump_observation,0.6369720101356506,7642
informative_observation,5,104,204,304,gradient_boosting,0.4437483051955773,0
informative_observation,5,104,204,304,gru_from_scratch,0.6354004740715027,4455
informative_observation,5,104,204,304,representation_linear,0.8167798561868759,20
informative_observation,5,104,204,304,representation_mlp,4.194418803721434,673
informative_observation,5,105,205,305,engineered_linear,0.6400998038736384,17
informative_observation,5,105,205,305,flow_jump,0.6601929664611816,6967
informative_observation,5,105,205,305,flow_jump_observation,0.6570188403129578,7642
informative_observation,5,105,205,305,gradient_boosting,0.4289809514937077,0
informative_observation,5,105,205,305,gru_from_scratch,0.6397309303283691,4455
informative_observation,5,105,205,305,representation_linear,0.7203572139822414,20
informative_observation,5,105,205,305,representation_mlp,1.214220243448931,673
informative_observation,10,101,201,301,engineered_linear,0.7405859844951538,17
informative_observation,10,101,201,301,flow_jump,0.6535772085189819,6967
informative_observation,10,101,201,301,flow_jump_observation,0.6533148288726807,7642
informative_observation,10,101,201,301,gradient_boosting,0.3766834860177809,0
informative_observation,10,101,201,301,gru_from_scratch,0.5645266771316528,4455
informative_observation,10,101,201,301,representation_linear,0.8722036968957041,20
informative_observation,10,101,201,301,representation_mlp,1.5960338726315917,673
informative_observation,10,102,202,302,engineered_linear,0.6915627691194697,17
informative_observation,10,102,202,302,flow_jump,0.7221207022666931,6967
informative_observation,10,102,202,302,flow_jump_observation,0.7219586968421936,7642
informative_observation,10,102,202,302,gradient_boosting,0.424268591883278,0
informative_observation,10,102,202,302,gru_from_scratch,0.571218729019165,4455
