world,n_train,model,site_or_shift,metric,mean,median,sd,minimum,maximum,n
site_shift,5,flow_jump,all,coverage_90,0.8266778381926188,0.8471916873018445,0.10318820744605371,0.7158788791379432,0.9623241358039336,5
site_shift,5,flow_jump,site_0,coverage_90,0.7554571179722726,0.7552870090634441,0.1310765120153774,0.6016798812497737,0.9189760114572144,5
site_shift,5,flow_jump,site_1,coverage_90,0.7420599458305934,0.7348637758308381,0.11773259100069099,0.6114526663423121,0.8986752042393464,5
site_shift,5,flow_jump,site_1_minus_site_0,coverage_90,-0.013397172141679181,-0.020423233232606,0.0358601628964251,-0.0435826365190776,0.0484256156963673,5
site_shift,5,flow_jump_observation,all,coverage_90,0.8263413075136917,0.8471916873018445,0.10387413525365362,0.7153377408653507,0.963083347173124,5
site_shift,5,flow_jump_observation,site_0,coverage_90,0.7662107569779798,0.7556226921785835,0.11999729676911168,0.6164150465225734,0.9197636949516648,5
site_shift,5,flow_jump_observation,site_1,coverage_90,0.7533775249943022,0.735078185649329,0.10348402567757446,0.6583587656832824,0.8991756826378156,5
site_shift,5,flow_jump_observation,site_1_minus_site_0,coverage_90,-0.012833231983677579,-0.0205880123138493,0.03261920967981267,-0.0356211674270854,0.044277161510001,5
site_shift,5,gru_from_scratch,all,coverage_90,0.8044464830127689,0.7415472911990002,0.10837938830001079,0.7159875934019456,0.9708415383520368,5
site_shift,10,flow_jump,all,coverage_90,0.8905922295338339,0.9103811269326566,0.05032939891349831,0.8270546745451572,0.936875044114533,5
site_shift,10,flow_jump,site_0,coverage_90,0.8854301117995647,0.866784948621276,0.0461562882723051,0.8460333445227705,0.9626532887402452,5
site_shift,10,flow_jump,site_1,coverage_90,0.880758235669993,0.8545079855744462,0.050993454506509904,0.8352519315367269,0.961423916729326,5
site_shift,10,flow_jump,site_1_minus_site_0,coverage_90,-0.004671876129571559,-0.0059288207270217,0.008773528586067716,-0.0138777706859355,0.0084579957620621,5
site_shift,10,flow_jump_observation,all,coverage_90,0.8843951480407602,0.9055596075571136,0.04492076981905631,0.8268211224513627,0.9315048992858668,5
site_shift,10,flow_jump_observation,site_0,coverage_90,0.8852904821795768,0.8659347970725216,0.04635620844614614,0.8460333445227705,0.9628390932738758,5
site_shift,10,flow_jump_observation,site_1,coverage_90,0.8809009232064513,0.8559137410760286,0.05112817894601023,0.834490407008983,0.961475518598788,5
site_shift,10,flow_jump_observation,site_1_minus_site_0,coverage_90,-0.0043895589731254205,-0.0043082424542256,0.008916532890205983,-0.0135356482052791,0.0088026079827527,5
site_shift,10,gru_from_scratch,all,coverage_90,0.8609770290697114,0.8339677616429344,0.04357693452745165,0.8255474625732521,0.9150648189539562,5
site_shift,20,flow_jump,all,coverage_90,0.8596053640916785,0.8528846821411215,0.054945343246974594,0.8063113868132901,0.9480177465657548,5
site_shift,20,flow_jump,site_0,coverage_90,0.8774903780420562,0.8603164042285799,0.04654349769351844,0.8462198351422924,0.9599713569638382,5
site_shift,20,flow_jump,site_1,coverage_90,0.8340483321874025,0.8040589996672951,0.07625325260750213,0.7773305615757736,0.9672481048060646,5
site_shift,20,flow_jump,site_1_minus_site_0,coverage_90,-0.043442045854653624,-0.0421608354749972,0.032955441458815515,-0.0809005792640629,0.0072767478422264,5
site_shift,20,flow_jump_observation,all,coverage_90,0.8589431302675881,0.8512184397491379,0.0554591684578455,0.8048310540908877,0.9481126479869036,5
site_shift,20,flow_jump_observation,site_0,coverage_90,0.8772501748807844,0.8611296915644742,0.04549100329508335,0.8453992764163962,0.9577157178660938,5
site_shift,20,flow_jump_observation,site_1,coverage_90,0.8347287113540285,0.8030239177849248,0.07415021324316647,0.7822474825659398,0.9650033119894016,5
site_shift,20,flow_jump_observation,site_1_minus_site_0,coverage_90,-0.04252146352675596,-0.0423753586314714,0.03209548970749241,-0.0788822089985343,0.0072875941233078,5
site_shift,20,gru_from_scratch,all,coverage_90,0.8668813339658316,0.8498223654800837,0.051684237518607526,0.823956862835852,0.9525730147808964,5
site_shift,40,flow_jump,all,coverage_90,0.8986197223645167,0.9026505004934442,0.04215382325531028,0.8442294786049849,0.953877909321692,5
site_shift,40,flow_jump,site_0,coverage_90,0.9178590906380544,0.914282546019073,0.03116130244311634,0.8697729988052568,0.9477517651430696,5
site_shift,40,flow_jump,site_1,coverage_90,0.890182104458496,0.9005078383749172,0.054830318539707275,0.7952766981306681,0.9280692026172784,5
site_shift,40,flow_jump,site_1_minus_site_0,coverage_90,-0.027676986179558237,-0.0153122452958914,0.026300330522221572,-0.0744963006745886,-0.0135988569347855,5
site_shift,40,flow_jump_observation,all,coverage_90,0.8981306990736384,0.9028619765966446,0.04268351232921076,0.8436740644743237,0.9539728107428408,5
site_shift,40,flow_jump_observation,site_0,coverage_90,0.9185873723079763,0.9150375939849624,0.030715500727978736,0.8712573766337207,0.9479375696767,5
site_shift,40,flow_jump_observation,site_1,coverage_90,0.8905810806707668,0.9007139177154633,0.05458100370200331,0.7961576901721266,0.928549776348379,5
site_shift,40,flow_jump_observation,site_1_minus_site_0,coverage_90,-0.02800629163720934,-0.0154284415472608,0.026435978231894607,-0.0750996864615941,-0.0143236762694991,5
site_shift,40,gru_from_scratch,all,coverage_90,0.9205318316317749,0.9063865783166504,0.025499553705164026,0.896676553705304,0.9525018387150348,5
site_shift,80,flow_jump,all,coverage_90,0.9010501690245677,0.8867897927534188,0.02563682380267914,0.8794637643926477,0.9331188817662168,5
site_shift,80,flow_jump,site_0,coverage_90,0.9062280576308218,0.9053618623511096,0.010817530719726055,0.8940914158305463,0.9227928835179592,5
site_shift,80,flow_jump,site_1,coverage_90,0.8803760486190294,0.8917786414954655,0.025527911534852614,0.8509074557329677,0.9105984991312706,5
site_shift,80,flow_jump,site_1_minus_site_0,coverage_90,-0.02585200901179252,-0.0169605953501549,0.015986427646345065,-0.0433378843688964,-0.0121943843866885,5
site_shift,80,flow_jump_observation,all,coverage_90,0.901859211557427,0.8867427980638188,0.026289584703195246,0.8799542237896163,0.9332114507879938,5
site_shift,80,flow_jump_observation,site_0,coverage_90,0.9054335579316151,0.9062307664458202,0.011077563401299527,0.893719806763285,0.922680989146246,5
site_shift,80,flow_jump_observation,site_1,coverage_90,0.8785438718408045,0.8873702804151027,0.026501162498465708,0.8506199596031079,0.9105763188052196,5
site_shift,80,flow_jump_observation,site_1_minus_site_0,coverage_90,-0.02688968609081046,-0.019110206516512,0.016597478247777853,-0.0464959438772464,-0.0121046703410262,5
site_shift,80,gru_from_scratch,all,coverage_90,0.9185386032511683,0.91520598545985,0.02926433445509185,0.8846019104561272,0.9545486103075606,5
site_shift,100,flow_jump,all,coverage_90,0.9069715820221145,0.9031926571221712,0.019758092237221535,0.8820789120767946,0.9271481798616094,5
site_shift,100,flow_jump,site_0,coverage_90,0.9070358206535121,0.9046822742474916,0.010229926848715484,0.8963485136697624,0.9234124343904784,5
site_shift,100,flow_jump,site_1,coverage_90,0.8637689086496947,0.8598207909055434,0.01575365058130664,0.845203504491516,0.88831389968536,5
site_shift,100,flow_jump,site_1_minus_site_0,coverage_90,-0.043266912003817284,-0.0456659533133503,0.016261805184087492,-0.0635916434849348,-0.020595987719151,5
site_shift,100,flow_jump_observation,all,coverage_90,0.906125033978063,0.90153443725623,0.019684351756541995,0.8819377455709009,0.9273796024160514,5
site_shift,100,flow_jump_observation,site_0,coverage_90,0.9065753186126461,0.9040876997398736,0.010485624765900781,0.8958263399351013,0.9232645819472168,5
site_shift,100,flow_jump_observation,site_1,coverage_90,0.8612468513853786,0.8582054344140239,0.015906713553902597,0.845417914310007,0.8879363316675921,5
site_shift,100,flow_jump_observation,site_1_minus_site_0,coverage_90,-0.04532846722726748,-0.0458822653258498,0.015470229040489603,-0.0637603888667198,-0.0210097600741985,5
site_shift,100,gru_from_scratch,all,coverage_90,0.9125418000908454,0.914916972230656,0.012788722461843415,0.8917488177305132,0.922913147115318,5
site_shift,5,flow_jump,all,event_brier,0.16770383345020856,0.154228456125229,0.04030369980542229,0.1287847319155318,0.2340571981486105,5
