candidate,control,cohort_seed,subset_seed,model_seed,candidate_aulc,control_aulc,effect,relative_improvement
gated,none,401,501,601,0.34645693500836683,0.30714406073093414,-0.039312874277432686,-0.12799490305583913
gated,none,402,502,602,0.32776603599389387,0.35272272427876783,0.024956688284873962,0.07075441009904967
gated,none,403,503,603,0.3337147086858749,0.3432894100745519,0.009574701388676998,0.027891047925415666
gated,none,404,504,604,0.34925541778405506,0.32141666114330286,-0.027838756640752194,-0.08661267446972934
gated,none,405,505,605,0.3293159628907839,0.30921051402886707,-0.02010544886191684,-0.06502187975419184
time_scaled,none,401,501,601,0.3093820710976919,0.30714406073093414,-0.0022380103667577478,-0.007286516826767816
time_scaled,none,402,502,602,0.3241321345170339,0.35272272427876783,0.028590589761733953,0.08105684095118837
time_scaled,none,403,503,603,0.3367680807908376,0.3432894100745519,0.006521329283714294,0.018996593231052662
time_scaled,none,404,504,604,0.3257619539896647,0.32141666114330286,-0.0043452928463618146,-0.013519189798392174
time_scaled,none,405,505,605,0.3328470637400945,0.30921051402886707,-0.023636549711227417,-0.07644161061425218
