backend,cohort_seed,metric,model,model_seed,n_fit,n_train,n_validation,site_or_shift,split,stage,subset_seed,trainable_parameters,value,variant,world
torch,401,mae,phase05_flow_jump,601,8,10,2,all,test,flow,501,4804,0.3337686359882355,gated__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,8,10,2,all,test,flow,501,4804,0.4966834010781544,gated__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,8,10,2,all,test,flow,501,4804,0.5135118702839017,gated__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,8,10,2,all,test,flow,501,4804,0.04023722583228486,gated__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,8,10,2,all,test,flow,501,4804,0.17713550136996514,gated__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,8,10,2,all,test,flow,501,4804,0.23790381145751652,gated__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,8,10,2,all,test,flow,501,3556,0.2871852517127991,none__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,8,10,2,all,test,flow,501,3556,0.43833997676381453,none__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,8,10,2,all,test,flow,501,3556,0.5125171700455109,none__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,8,10,2,all,test,flow,501,3556,0.03248541314585496,none__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,8,10,2,all,test,flow,501,3556,0.15337874876846183,none__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,8,10,2,all,test,flow,501,3556,0.32716122330542485,none__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,8,10,2,all,test,flow,501,4156,0.3007267117500305,time_scaled__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,8,10,2,all,test,flow,501,4156,0.46055404424547214,time_scaled__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,8,10,2,all,test,flow,501,4156,0.5396229879622515,time_scaled__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,8,10,2,all,test,flow,501,4156,0.03947421939770138,time_scaled__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,8,10,2,all,test,flow,501,4156,0.1737843408453226,time_scaled__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,8,10,2,all,test,flow,501,4156,0.2804831563855326,time_scaled__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,16,20,4,all,test,flow,501,4804,0.3713601231575012,gated__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,16,20,4,all,test,flow,501,4804,0.5383679435024851,gated__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,16,20,4,all,test,flow,501,4804,0.5389198337175168,gated__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,16,20,4,all,test,flow,501,4804,0.06950735075445029,gated__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,16,20,4,all,test,flow,501,4804,0.27385754822453656,gated__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,16,20,4,all,test,flow,501,4804,0.25609988204212125,gated__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,16,20,4,all,test,flow,501,3556,0.28944575786590576,none__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,16,20,4,all,test,flow,501,3556,0.43310139169247,none__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,16,20,4,all,test,flow,501,3556,0.514672025533424,none__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,16,20,4,all,test,flow,501,3556,0.03123032671847373,none__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,16,20,4,all,test,flow,501,3556,0.14340346270870327,none__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,16,20,4,all,test,flow,501,3556,0.3411575348284028,none__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,16,20,4,all,test,flow,501,4156,0.311482697725296,time_scaled__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,16,20,4,all,test,flow,501,4156,0.46986821630096437,time_scaled__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,16,20,4,all,test,flow,501,4156,0.5375348818882124,time_scaled__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,16,20,4,all,test,flow,501,4156,0.03755605826924985,time_scaled__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,16,20,4,all,test,flow,501,4156,0.16524703209818675,time_scaled__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,16,20,4,all,test,flow,501,4156,0.261973856312622,time_scaled__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,32,40,8,all,test,flow,501,4804,0.25839701294898987,gated__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,32,40,8,all,test,flow,501,4804,0.39506324931663417,gated__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,32,40,8,all,test,flow,501,4804,0.5042760998482968,gated__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,32,40,8,all,test,flow,501,4804,0.034961510268421654,gated__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,32,40,8,all,test,flow,501,4804,0.15202866862367503,gated__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,32,40,8,all,test,flow,501,4804,0.27439730596035466,gated__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,32,40,8,all,test,flow,501,3556,0.3053184151649475,none__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,32,40,8,all,test,flow,501,3556,0.4706932161799852,none__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,32,40,8,all,test,flow,501,3556,0.49343199952715877,none__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,32,40,8,all,test,flow,501,3556,0.02995749548225016,none__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,32,40,8,all,test,flow,501,3556,0.1357819654013424,none__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,32,40,8,all,test,flow,501,3556,0.30785069615366,none__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.26485440135002136,time_scaled__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.4078687914002569,time_scaled__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.5407812912504679,time_scaled__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.030913534913023698,time_scaled__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.14008496943197027,time_scaled__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.29836205756216644,time_scaled__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.41008707880973816,gated__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.632020831876882,gated__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.5365966861713656,gated__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.04010492742493243,gated__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.1873481815431646,gated__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.16655322491506575,gated__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.3842839300632477,none__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.6187954731810166,none__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.5073150107374351,none__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.029665483177615363,none__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.13342197335076875,none__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.28362402780359247,none__none__deterministic,smooth
