candidate,control,cohort_seed,subset_seed,model_seed,n_train,metric,candidate_value,control_value,effect,candidate_better
gated,none,401,501,601,5,event_brier,0.04010492742493243,0.029665483177615363,-0.010439444247317065,False
gated,none,401,501,601,5,event_log_loss,0.1873481815431646,0.13342197335076875,-0.05392620819239585,False
gated,none,401,501,601,5,event_roc_auc,0.5365966861713656,0.5073150107374351,0.029281675433930454,True
gated,none,401,501,601,5,latent_aligned_r2,0.16655322491506575,0.28362402780359247,-0.11707080288852673,False
gated,none,401,501,601,5,mae,0.41008707880973816,0.3842839300632477,-0.02580314874649048,False
gated,none,401,501,601,5,rmse,0.632020831876882,0.6187954731810166,-0.013225358695865386,False
gated,none,401,501,601,10,event_brier,0.04023722583228486,0.03248541314585496,-0.007751812686429903,False
gated,none,401,501,601,10,event_log_loss,0.17713550136996514,0.15337874876846183,-0.02375675260150331,False
gated,none,401,501,601,10,event_roc_auc,0.5135118702839017,0.5125171700455109,0.0009947002383907666,True
gated,none,401,501,601,10,latent_aligned_r2,0.23790381145751652,0.32716122330542485,-0.08925741184790834,False
gated,none,401,501,601,10,mae,0.3337686359882355,0.2871852517127991,-0.0465833842754364,False
gated,none,401,501,601,10,rmse,0.4966834010781544,0.43833997676381453,-0.058343424314339865,False
gated,none,401,501,601,20,event_brier,0.06950735075445029,0.03123032671847373,-0.03827702403597656,False
gated,none,401,501,601,20,event_log_loss,0.27385754822453656,0.14340346270870327,-0.1304540855158333,False
gated,none,401,501,601,20,event_roc_auc,0.5389198337175168,0.514672025533424,0.02424780818409289,True
gated,none,401,501,601,20,latent_aligned_r2,0.25609988204212125,0.3411575348284028,-0.08505765278628152,False
gated,none,401,501,601,20,mae,0.3713601231575012,0.28944575786590576,-0.08191436529159546,False
gated,none,401,501,601,20,rmse,0.5383679435024851,0.43310139169247,-0.1052665518100151,False
gated,none,401,501,601,40,event_brier,0.034961510268421654,0.02995749548225016,-0.0050040147861714936,False
gated,none,401,501,601,40,event_log_loss,0.15202866862367503,0.1357819654013424,-0.016246703222332626,False
gated,none,401,501,601,40,event_roc_auc,0.5042760998482968,0.49343199952715877,0.010844100321138028,True
gated,none,401,501,601,40,latent_aligned_r2,0.27439730596035466,0.30785069615366,-0.033453390193305343,False
gated,none,401,501,601,40,mae,0.25839701294898987,0.3053184151649475,0.04692140221595764,True
gated,none,401,501,601,40,rmse,0.39506324931663417,0.4706932161799852,0.07562996686335105,True
gated,none,402,502,602,5,event_brier,0.03169872268865876,0.033264973395900455,0.001566250707241694,True
gated,none,402,502,602,5,event_log_loss,0.1572856977345067,0.15336071303062906,-0.003924984703877643,False
gated,none,402,502,602,5,event_roc_auc,0.5189099640615538,0.5135230742472773,0.005386889814276485,True
gated,none,402,502,602,5,latent_aligned_r2,0.1711773313964444,0.18746743017303902,-0.016290098776594625,False
gated,none,402,502,602,5,mae,0.4284639358520508,0.44517338275909424,0.016709446907043457,True
gated,none,402,502,602,5,rmse,0.6385222560137318,0.6634432429722288,0.024920986958496982,True
gated,none,402,502,602,10,event_brier,0.03687480397101783,0.03231756454999771,-0.004557239421020126,False
gated,none,402,502,602,10,event_log_loss,0.1607996980118398,0.1477527724355632,-0.013046925576276597,False
gated,none,402,502,602,10,event_roc_auc,0.52102907387492,0.5104720632414916,0.010557010633428399,True
gated,none,402,502,602,10,latent_aligned_r2,0.2261639338413384,0.21581112217105858,0.010352811670279821,True
gated,none,402,502,602,10,mae,0.35813143849372864,0.3356918394565582,-0.02243959903717041,False
gated,none,402,502,602,10,rmse,0.5309995172933047,0.5378970664531386,0.006897549159833871,True
gated,none,402,502,602,20,event_brier,0.030593163090612045,0.03447738027559334,0.0038842171849812965,True
gated,none,402,502,602,20,event_log_loss,0.1449853395320667,0.16234203928389845,0.017356699751831767,True
gated,none,402,502,602,20,event_roc_auc,0.5347797730140552,0.5136291518667839,0.021150621147271287,True
gated,none,402,502,602,20,latent_aligned_r2,0.2701737015538672,0.2777183451994859,-0.007544643645618687,False
gated,none,402,502,602,20,mae,0.2767259180545807,0.3270762860774994,0.0503503680229187,True
gated,none,402,502,602,20,rmse,0.42558977213756183,0.5216739895594065,0.09608421742184464,True
gated,none,402,502,602,40,event_brier,0.030147028235812178,0.033723009998581584,0.0035759817627694056,True
gated,none,402,502,602,40,event_log_loss,0.1405479690807663,0.15789441163377127,0.017346442553004965,True
gated,none,402,502,602,40,event_roc_auc,0.5277040933787016,0.5109116107460041,0.016792482632697503,True
gated,none,402,502,602,40,latent_aligned_r2,0.29019062539869306,0.27455053879758434,0.015640086601108716,True
gated,none,402,502,602,40,mae,0.2684175670146942,0.34562671184539795,0.07720914483070374,True
gated,none,402,502,602,40,rmse,0.40918338382480784,0.5412988575474924,0.13211547372268456,True
gated,none,403,503,603,5,event_brier,0.03466365989421775,0.031606899219220996,-0.0030567606749967516,False
gated,none,403,503,603,5,event_log_loss,0.18882195399290633,0.13854552355659114,-0.05027643043631519,False
gated,none,403,503,603,5,event_roc_auc,0.49892842350456423,0.5391434947456284,-0.04021507124106416,False
gated,none,403,503,603,5,latent_aligned_r2,0.22313220459665378,0.24291027627901757,-0.019778071682363785,False
gated,none,403,503,603,5,mae,0.46629035472869873,0.4365130662918091,-0.02977728843688965,False
gated,none,403,503,603,5,rmse,0.7369457457460195,0.7148024333416123,-0.022143312404407145,False
gated,none,403,503,603,10,event_brier,0.035088998582656274,0.033371465119236866,-0.0017175334634194073,False
gated,none,403,503,603,10,event_log_loss,0.163351373865609,0.15025514518189848,-0.01309622868371052,False
gated,none,403,503,603,10,event_roc_auc,0.48481124301292605,0.5056954694931424,-0.020884226480216317,False
gated,none,403,503,603,10,latent_aligned_r2,0.2674575557180535,0.3005074305554881,-0.0330498748374346,False
gated,none,403,503,603,10,mae,0.32799574732780457,0.3441533148288727,0.016157567501068115,True
gated,none,403,503,603,10,rmse,0.5172806658774065,0.5628695863263912,0.04558892044898466,True
gated,none,403,503,603,20,event_brier,0.03364329391827285,0.03199337723595301,-0.0016499166823198408,False
gated,none,403,503,603,20,event_log_loss,0.15587046641261493,0.14299861332562452,-0.012871853086990404,False
gated,none,403,503,603,20,event_roc_auc,0.5054453691080718,0.5005552796223625,0.004890089485709348,True
gated,none,403,503,603,20,latent_aligned_r2,0.2729050793348777,0.3544137858569208,-0.08150870652204312,False
gated,none,403,503,603,20,mae,0.2549300789833069,0.30315300822257996,0.04822292923927307,True
