stage,world,cohort_seed,subset_seed,model_seed,n_train,control_mae,time_scaled_mae,control_latent_aligned_r2,time_scaled_latent_aligned_r2,Delta_MAE,Delta_R2,winner,bundle,control_selected_epoch,control_shadow_mae_epoch,control_stop_epoch,time_scaled_selected_epoch,time_scaled_shadow_mae_epoch,time_scaled_stop_epoch
d1,smooth,401,501,601,5,0.3842839300632477,0.3670192062854767,0.28362402780359247,0.23733646939720546,0.017264723777770996,-0.046287558406387014,time_scaled,401-501-601,100,1,100,100,6,100
d1,smooth,401,501,601,10,0.2871852517127991,0.3007267117500305,0.32716122330542485,0.2804831563855326,-0.013541460037231445,-0.046678066919892236,none,401-501-601,100,35,100,48,41,60
d1,smooth,401,501,601,20,0.28944575786590576,0.311482697725296,0.3411575348284028,0.261973856312622,-0.02203693985939026,-0.07918367851578079,none,401-501-601,100,100,100,53,55,65
d1,smooth,401,501,601,40,0.3053184151649475,0.26485440135002136,0.30785069615366,0.29836205756216644,0.04046401381492615,-0.00948863859149357,time_scaled,401-501-601,100,100,100,100,100,100
d1,smooth,402,502,602,5,0.44517338275909424,0.4552229940891266,0.18746743017303902,0.21118344210502607,-0.010049611330032349,0.023716011931987052,none,402-502-602,100,17,100,100,12,100
d1,smooth,402,502,602,10,0.3356918394565582,0.31949976086616516,0.21581112217105858,0.2782470699578113,0.016192078590393066,0.06243594778675271,time_scaled,402-502-602,100,100,100,100,100,100
d1,smooth,402,502,602,20,0.3270762860774994,0.27353861927986145,0.2777183451994859,0.29975521696582935,0.05353766679763794,0.022036871766343447,time_scaled,402-502-602,100,5,100,100,100,100
d1,smooth,402,502,602,40,0.34562671184539795,0.30349305272102356,0.27455053879758434,0.29985155832180804,0.04213365912437439,0.0253010195242237,time_scaled,402-502-602,100,8,100,100,100,100
d1,smooth,403,503,603,5,0.4365130662918091,0.4521443545818329,0.24291027627901757,0.26167827138779776,-0.015631288290023804,0.01876799510878019,none,403-503-603,100,6,100,65,13,77
d1,smooth,403,503,603,10,0.3441533148288727,0.3471214175224304,0.3005074305554881,0.29917858555943394,-0.0029681026935577393,-0.0013288449960541793,none,403-503-603,100,100,100,100,100,100
d1,smooth,403,503,603,20,0.30315300822257996,0.2654244601726532,0.3544137858569208,0.31820277343288345,0.03772854804992676,-0.03621101242403735,time_scaled,403-503-603,100,12,100,100,100,100
d1,smooth,403,503,603,40,0.32861074805259705,0.3433723747730255,0.32973362842602605,0.284397152175538,-0.014761626720428467,-0.045336476250488034,none,403-503-603,65,75,77,32,34,44
d1,smooth,404,504,604,5,0.33313217759132385,0.3529287278652191,0.2740743256939075,0.2315697713918791,-0.019796550273895264,-0.0425045543020284,none,404-504-604,100,42,100,100,31,100
d1,smooth,404,504,604,10,0.33222880959510803,0.33660826086997986,0.28087421638493504,0.2657596140237442,-0.004379451274871826,-0.015114602361190832,none,404-504-604,100,100,100,100,42,100
d1,smooth,404,504,604,20,0.3167527914047241,0.33908697962760925,0.2836145000507806,0.27604110070489063,-0.022334188222885132,-0.007573399345889964,none,404-504-604,100,100,100,50,50,62
d1,smooth,404,504,604,40,0.29740458726882935,0.25025251507759094,0.31365235471454,0.2961388527463712,0.0471520721912384,-0.01751350196816881,time_scaled,404-504-604,100,100,100,100,100,100
d1,smooth,405,505,605,5,0.3257488012313843,0.3438850939273834,0.3389808105107769,0.29555915130515215,-0.018136292695999146,-0.04342165920562474,none,405-505-605,100,72,100,91,49,100
d1,smooth,405,505,605,10,0.3572295606136322,0.3867706060409546,0.3550264663587556,0.31687667470610775,-0.029541045427322388,-0.03814979165264787,none,405-505-605,81,9,93,44,9,56
d1,smooth,405,505,605,20,0.25862449407577515,0.30835074186325073,0.35647986494516454,0.3200182011434216,-0.049726247787475586,-0.03646166380174293,none,405-505-605,100,100,100,83,83,95
d1,smooth,405,505,605,40,0.29780617356300354,0.26295459270477295,0.3502089013771249,0.33693331615069333,0.03485158085823059,-0.013275585226431574,time_scaled,405-505-605,100,100,100,100,100,100
