stage,world,cohort_seed,subset_seed,model_seed,n_train,control_mae,time_scaled_mae,Delta_MAE
d2a,smooth,401,501,601,5,0.3842839300632477,0.3670192062854767,0.017264723777770996
d2a,smooth,401,502,602,5,0.4310776889324188,0.42691612243652344,0.004161566495895386
d2a,smooth,401,503,603,5,0.35586243867874146,0.35383328795433044,0.0020291507244110107
d2a,smooth,401,504,604,5,0.3673671782016754,0.3443565368652344,0.02301064133644104
d2a,smooth,401,505,605,5,0.334550678730011,0.3527509868144989,-0.018200308084487915
d2a,smooth,402,501,602,5,0.3506973683834076,0.3543061316013336,-0.0036087632179260254
d2a,smooth,402,502,603,5,0.43791598081588745,0.44204121828079224,-0.004125237464904785
d2a,smooth,402,503,604,5,0.32608142495155334,0.29715457558631897,0.028926849365234375
d2a,smooth,402,504,605,5,0.3248497247695923,0.332254558801651,-0.007404834032058716
d2a,smooth,402,505,601,5,0.33606046438217163,0.3508753776550293,-0.014814913272857666
d2a,smooth,403,501,603,5,0.41805970668792725,0.40389710664749146,0.014162600040435791
d2a,smooth,403,502,604,5,0.3501051366329193,0.3280993700027466,0.02200576663017273
d2a,smooth,403,503,605,5,0.44084471464157104,0.4394499957561493,0.001394718885421753
d2a,smooth,403,504,601,5,0.3936707079410553,0.396488755941391,-0.0028180480003356934
d2a,smooth,403,505,602,5,0.3439674973487854,0.3585950434207916,-0.014627546072006226
d2a,smooth,404,501,604,5,0.3385179936885834,0.3579465448856354,-0.019428551197052002
d2a,smooth,404,502,605,5,0.3210890293121338,0.32371291518211365,-0.0026238858699798584
d2a,smooth,404,503,601,5,0.3785272538661957,0.3512131869792938,0.027314066886901855
d2a,smooth,404,504,602,5,0.33068087697029114,0.3330657482147217,-0.002384871244430542
d2a,smooth,404,505,603,5,0.3353356122970581,0.33512622117996216,0.00020939111709594727
d2a,smooth,405,501,605,5,0.3370305001735687,0.320507287979126,0.01652321219444275
d2a,smooth,405,502,601,5,0.35616737604141235,0.3499048054218292,0.00626257061958313
d2a,smooth,405,503,602,5,0.3355950713157654,0.3406946063041687,-0.00509953498840332
d2a,smooth,405,504,603,5,0.3340305984020233,0.3370523154735565,-0.003021717071533203
d2a,smooth,405,505,604,5,0.3626095950603485,0.3489745259284973,0.013635069131851196
d2a,smooth,401,501,601,40,0.3053184151649475,0.26485440135002136,0.04046401381492615
d2a,smooth,401,502,602,40,0.32708531618118286,0.2920958399772644,0.03498947620391846
d2a,smooth,401,503,603,40,0.3165222108364105,0.28685590624809265,0.02966630458831787
d2a,smooth,401,504,604,40,0.3265300989151001,0.28103572130203247,0.04549437761306763
d2a,smooth,401,505,605,40,0.2739441990852356,0.26141101121902466,0.012533187866210938
d2a,smooth,402,501,602,40,0.3304044306278229,0.3389866054058075,-0.00858217477798462
d2a,smooth,402,502,603,40,0.3243499994277954,0.3396070599555969,-0.015257060527801514
d2a,smooth,402,503,604,40,0.2899278998374939,0.247379869222641,0.042548030614852905
d2a,smooth,402,504,605,40,0.2537762224674225,0.2709173858165741,-0.01714116334915161
d2a,smooth,402,505,601,40,0.32568028569221497,0.3266650140285492,-0.0009847283363342285
d2a,smooth,403,501,603,40,0.2951339781284332,0.2691538631916046,0.025980114936828613
d2a,smooth,403,502,604,40,0.29510849714279175,0.2549835741519928,0.04012492299079895
d2a,smooth,403,503,605,40,0.32251793146133423,0.33488136529922485,-0.012363433837890625
d2a,smooth,403,504,601,40,0.31521546840667725,0.256914347410202,0.05830112099647522
d2a,smooth,403,505,602,40,0.33194199204444885,0.32928895950317383,0.0026530325412750244
d2a,smooth,404,501,604,40,0.30374032258987427,0.2570186257362366,0.046721696853637695
d2a,smooth,404,502,605,40,0.2842279374599457,0.2747921943664551,0.0094357430934906
d2a,smooth,404,503,601,40,0.30495360493659973,0.2520187497138977,0.052934855222702026
d2a,smooth,404,504,602,40,0.3235534131526947,0.3471248149871826,-0.023571401834487915
d2a,smooth,404,505,603,40,0.3035067021846771,0.2597368657588959,0.04376983642578125
d2a,smooth,405,501,605,40,0.24555857479572296,0.26949670910835266,-0.0239381343126297
d2a,smooth,405,502,601,40,0.31986790895462036,0.26473161578178406,0.055136293172836304
d2a,smooth,405,503,602,40,0.32495683431625366,0.29824644327163696,0.0267103910446167
d2a,smooth,405,504,603,40,0.3130859434604645,0.28361013531684875,0.029475808143615723
d2a,smooth,405,505,604,40,0.3220274746417999,0.29042917490005493,0.031598299741744995
