n_train,factor,level,mean_delta_mae,centered_effect
5,cohort,401,0.005653154850006103,0.002503470182418823
5,cohort,402,-0.00020537972450256347,-0.0033550643920898437
5,cohort,403,0.004023498296737671,0.0008738136291503908
5,cohort,404,0.0006172299385070801,-0.0025324547290802002
5,cohort,405,0.00565991997718811,0.0025102353096008298
5,subset,501,0.004982644319534301,0.001832959651947021
5,subset,502,0.00513615608215332,0.0019864714145660396
5,subset,503,0.010913050174713135,0.007763365507125855
5,subset,504,0.001476234197616577,-0.0016734504699707034
5,subset,505,-0.006759661436080933,-0.009909346103668212
5,model,601,0.006641680002212524,0.0034919953346252437
5,model,602,-0.0043118298053741455,-0.007461514472961426
5,model,603,0.0018508374691009522,-0.0012988471984863282
5,model,604,0.013629955053329468,0.010480270385742188
5,model,605,-0.0020622193813323976,-0.005211904048919678
40,cohort,401,0.032629472017288205,0.011561495661735532
40,cohort,402,0.00011658072471618653,-0.020951395630836485
40,cohort,403,0.022939151525497435,0.0018711751699447624
40,cohort,404,0.025858145952224732,0.004790169596672059
40,cohort,405,0.023796531558036804,0.0027285552024841307
40,subset,501,0.016129103302955628,-0.004938873052597045
40,subset,502,0.02488587498664856,0.0038178986310958875
40,subset,503,0.027899229526519777,0.006831253170967104
40,subset,504,0.018511748313903807,-0.0025562280416488656
40,subset,505,0.017913925647735595,-0.0031540507078170778
40,model,601,0.04117031097412109,0.020102334618568418
40,model,602,0.006439864635467529,-0.014628111720085143
40,model,603,0.022727000713348388,0.0016590243577957152
40,model,604,0.041297465562820435,0.020229489207267762
40,model,605,-0.00629476010799408,-0.02736273646354675
