world,cohort_seed,subset_seed,model_seed,Delta_MAE_N5,Delta_MAE_N40,T
smooth,401,501,601,0.017264723777770996,0.04046401381492615,0.02319929003715515
smooth,401,502,602,0.004161566495895386,0.03498947620391846,0.03082790970802307
smooth,401,503,603,0.0020291507244110107,0.02966630458831787,0.02763715386390686
smooth,401,504,604,0.02301064133644104,0.04549437761306763,0.022483736276626587
smooth,401,505,605,-0.018200308084487915,0.012533187866210938,0.030733495950698853
smooth,402,501,602,-0.0036087632179260254,-0.00858217477798462,-0.004973411560058594
smooth,402,502,603,-0.004125237464904785,-0.015257060527801514,-0.011131823062896729
smooth,402,503,604,0.028926849365234375,0.042548030614852905,0.01362118124961853
smooth,402,504,605,-0.007404834032058716,-0.01714116334915161,-0.009736329317092896
smooth,402,505,601,-0.014814913272857666,-0.0009847283363342285,0.013830184936523438
smooth,403,501,603,0.014162600040435791,0.025980114936828613,0.011817514896392822
smooth,403,502,604,0.02200576663017273,0.04012492299079895,0.01811915636062622
smooth,403,503,605,0.001394718885421753,-0.012363433837890625,-0.013758152723312378
smooth,403,504,601,-0.0028180480003356934,0.05830112099647522,0.06111916899681091
smooth,403,505,602,-0.014627546072006226,0.0026530325412750244,0.01728057861328125
smooth,404,501,604,-0.019428551197052002,0.046721696853637695,0.0661502480506897
smooth,404,502,605,-0.0026238858699798584,0.0094357430934906,0.012059628963470459
smooth,404,503,601,0.027314066886901855,0.052934855222702026,0.02562078833580017
smooth,404,504,602,-0.002384871244430542,-0.023571401834487915,-0.021186530590057373
smooth,404,505,603,0.00020939111709594727,0.04376983642578125,0.0435604453086853
smooth,405,501,605,0.01652321219444275,-0.0239381343126297,-0.04046134650707245
smooth,405,502,601,0.00626257061958313,0.055136293172836304,0.048873722553253174
smooth,405,503,602,-0.00509953498840332,0.0267103910446167,0.03180992603302002
smooth,405,504,603,-0.003021717071533203,0.029475808143615723,0.032497525215148926
smooth,405,505,604,0.013635069131851196,0.031598299741744995,0.0179632306098938
