stage,world,cohort_seed,subset_seed,model_seed,n_train,control_mae,time_scaled_mae,Delta_MAE
d2b,smooth,401,501,601,5,0.3842839300632477,0.3670192062854767,0.017264723777770996
d2b,smooth,401,502,603,5,0.36970391869544983,0.38166511058807373,-0.011961191892623901
d2b,smooth,401,503,605,5,0.33693304657936096,0.34349673986434937,-0.006563693284988403
d2b,smooth,401,504,602,5,0.38727593421936035,0.3954777121543884,-0.008201777935028076
d2b,smooth,401,505,604,5,0.33517739176750183,0.3453402519226074,-0.01016286015510559
d2b,smooth,402,501,602,5,0.3506973683834076,0.3543061316013336,-0.0036087632179260254
d2b,smooth,402,502,604,5,0.44134438037872314,0.45810654759407043,-0.01676216721534729
d2b,smooth,402,503,601,5,0.320331335067749,0.2833928167819977,0.03693851828575134
d2b,smooth,402,504,603,5,0.2986527979373932,0.33242297172546387,-0.03377017378807068
d2b,smooth,402,505,605,5,0.33026379346847534,0.345035195350647,-0.01477140188217163
d2b,smooth,403,501,603,5,0.41805970668792725,0.40389710664749146,0.014162600040435791
d2b,smooth,403,502,605,5,0.310407817363739,0.3506486117839813,-0.04024079442024231
d2b,smooth,403,503,602,5,0.44575417041778564,0.43172487616539,0.01402929425239563
d2b,smooth,403,504,604,5,0.40796011686325073,0.4276951551437378,-0.01973503828048706
d2b,smooth,403,505,601,5,0.3499341607093811,0.35836097598075867,-0.008426815271377563
d2b,smooth,404,501,604,5,0.3385179936885834,0.3579465448856354,-0.019428551197052002
d2b,smooth,404,502,601,5,0.33022165298461914,0.303352415561676,0.026869237422943115
d2b,smooth,404,503,603,5,0.3704865276813507,0.3722851276397705,-0.0017985999584197998
d2b,smooth,404,504,605,5,0.3218647241592407,0.33608150482177734,-0.014216780662536621
d2b,smooth,404,505,602,5,0.34443923830986023,0.35042789578437805,-0.005988657474517822
d2b,smooth,405,501,605,5,0.3370305001735687,0.320507287979126,0.01652321219444275
d2b,smooth,405,502,602,5,0.36007553339004517,0.37441879510879517,-0.01434326171875
d2b,smooth,405,503,604,5,0.3097899556159973,0.36505094170570374,-0.05526098608970642
d2b,smooth,405,504,601,5,0.34220731258392334,0.33622193336486816,0.005985379219055176
d2b,smooth,405,505,603,5,0.3764787018299103,0.3595919907093048,0.01688671112060547
d2b,smooth,401,501,601,40,0.3053184151649475,0.26485440135002136,0.04046401381492615
d2b,smooth,401,502,603,40,0.31997987627983093,0.2881941795349121,0.03178569674491882
d2b,smooth,401,503,605,40,0.3000963032245636,0.268670916557312,0.03142538666725159
d2b,smooth,401,504,602,40,0.3510604500770569,0.3264271020889282,0.024633347988128662
d2b,smooth,401,505,604,40,0.30043768882751465,0.2621491551399231,0.03828853368759155
d2b,smooth,402,501,602,40,0.3304044306278229,0.3389866054058075,-0.00858217477798462
d2b,smooth,402,502,604,40,0.328543096780777,0.24248678982257843,0.08605630695819855
d2b,smooth,402,503,601,40,0.2882768213748932,0.25475412607192993,0.03352269530296326
d2b,smooth,402,504,603,40,0.31514278054237366,0.27346885204315186,0.0416739284992218
d2b,smooth,402,505,605,40,0.28801363706588745,0.3356870710849762,-0.047673434019088745
d2b,smooth,403,501,603,40,0.2951339781284332,0.2691538631916046,0.025980114936828613
d2b,smooth,403,502,605,40,0.2670179307460785,0.2704122066497803,-0.0033942759037017822
d2b,smooth,403,503,602,40,0.3308835029602051,0.34436577558517456,-0.013482272624969482
d2b,smooth,403,504,604,40,0.32239004969596863,0.2699699103832245,0.05242013931274414
d2b,smooth,403,505,601,40,0.32726743817329407,0.2756097614765167,0.051657676696777344
d2b,smooth,404,501,604,40,0.30374032258987427,0.2570186257362366,0.046721696853637695
d2b,smooth,404,502,601,40,0.317772775888443,0.2642867863178253,0.053485989570617676
d2b,smooth,404,503,603,40,0.3035053312778473,0.2776453197002411,0.0258600115776062
d2b,smooth,404,504,605,40,0.24144895374774933,0.3330067992210388,-0.09155784547328949
d2b,smooth,404,505,602,40,0.31963491439819336,0.27048978209495544,0.049145132303237915
d2b,smooth,405,501,605,40,0.24555857479572296,0.26949670910835266,-0.0239381343126297
d2b,smooth,405,502,602,40,0.32559460401535034,0.2819693088531494,0.04362529516220093
d2b,smooth,405,503,604,40,0.31451767683029175,0.26653021574020386,0.04798746109008789
d2b,smooth,405,504,601,40,0.31568166613578796,0.26068246364593506,0.054999202489852905
d2b,smooth,405,505,603,40,0.3264041841030121,0.2809654474258423,0.0454387366771698
