n_train,factor,level,mean_delta_mae,centered_effect
5,cohort,401,-0.003924959897994995,0.0015383136272430426
5,cohort,402,-0.006394797563552856,-0.0009315240383148187
5,cohort,403,-0.008042150735855102,-0.002578877210617065
5,cohort,404,-0.002912670373916626,0.0025506031513214114
5,cohort,405,-0.006041789054870605,-0.0005785155296325678
5,subset,501,0.004982644319534301,0.010445917844772338
5,subset,502,-0.011287635564804077,-0.00582436203956604
5,subset,503,-0.00253109335899353,0.0029321801662445073
5,subset,504,-0.013987678289413451,-0.008524404764175413
5,subset,505,-0.004492604732513427,0.00097066879272461
5,model,601,0.015726208686828613,0.02118948221206665
5,model,602,-0.0036226332187652586,0.0018406403064727787
5,model,603,-0.003296130895614624,0.0021671426296234132
5,model,604,-0.024269920587539674,-0.018806647062301635
5,model,605,-0.011853891611099242,-0.006390618085861205
40,cohort,401,0.03331939578056335,0.007857666611671445
40,cohort,402,0.020999464392662048,-0.004462264776229859
40,cohort,403,0.022636276483535767,-0.002825452685356139
40,cohort,404,0.016730996966362,-0.008730732202529908
40,cohort,405,0.033622512221336366,0.00816078305244446
40,subset,501,0.016129103302955628,-0.009332625865936278
40,subset,502,0.04231180250644684,0.016850073337554932
40,subset,503,0.02506265640258789,-0.0003990727663040171
40,subset,504,0.016433754563331605,-0.009027974605560301
40,subset,505,0.027371329069137574,0.0019095999002456676
40,model,601,0.046825915575027466,0.02136418640613556
40,model,602,0.01906786561012268,-0.006393863558769225
40,model,603,0.03414769768714905,0.008685968518257144
40,model,604,0.05429482758045197,0.028833098411560062
40,model,605,-0.027027660608291627,-0.05248938977718354
