world,cohort_seed,subset_seed,model_seed,Delta_MAE_N5,Delta_MAE_N40,T
smooth,401,501,601,0.017264723777770996,0.04046401381492615,0.02319929003715515
smooth,401,502,603,-0.011961191892623901,0.03178569674491882,0.043746888637542725
smooth,401,503,605,-0.006563693284988403,0.03142538666725159,0.03798907995223999
smooth,401,504,602,-0.008201777935028076,0.024633347988128662,0.03283512592315674
smooth,401,505,604,-0.01016286015510559,0.03828853368759155,0.048451393842697144
smooth,402,501,602,-0.0036087632179260254,-0.00858217477798462,-0.004973411560058594
smooth,402,502,604,-0.01676216721534729,0.08605630695819855,0.10281847417354584
smooth,402,503,601,0.03693851828575134,0.03352269530296326,-0.003415822982788086
smooth,402,504,603,-0.03377017378807068,0.0416739284992218,0.07544410228729248
smooth,402,505,605,-0.01477140188217163,-0.047673434019088745,-0.032902032136917114
smooth,403,501,603,0.014162600040435791,0.025980114936828613,0.011817514896392822
smooth,403,502,605,-0.04024079442024231,-0.0033942759037017822,0.03684651851654053
smooth,403,503,602,0.01402929425239563,-0.013482272624969482,-0.027511566877365112
smooth,403,504,604,-0.01973503828048706,0.05242013931274414,0.0721551775932312
smooth,403,505,601,-0.008426815271377563,0.051657676696777344,0.06008449196815491
smooth,404,501,604,-0.019428551197052002,0.046721696853637695,0.0661502480506897
smooth,404,502,601,0.026869237422943115,0.053485989570617676,0.02661675214767456
smooth,404,503,603,-0.0017985999584197998,0.0258600115776062,0.027658611536026
smooth,404,504,605,-0.014216780662536621,-0.09155784547328949,-0.07734106481075287
smooth,404,505,602,-0.005988657474517822,0.049145132303237915,0.05513378977775574
smooth,405,501,605,0.01652321219444275,-0.0239381343126297,-0.04046134650707245
smooth,405,502,602,-0.01434326171875,0.04362529516220093,0.05796855688095093
smooth,405,503,604,-0.05526098608970642,0.04798746109008789,0.10324844717979431
smooth,405,504,601,0.005985379219055176,0.054999202489852905,0.04901382327079773
smooth,405,505,603,0.01688671112060547,0.0454387366771698,0.02855202555656433
