stage,world,cohort_seed,subset_seed,model_seed,n_train,control_mae,time_scaled_mae,control_selected_epoch,control_stop_epoch,time_scaled_selected_epoch,time_scaled_stop_epoch,Delta_MAE
d4b,smooth,401,501,1001,40,0.30964237451553345,0.3378692865371704,100,100,39,51,-0.028226912021636963
d4b,smooth,401,501,1002,40,0.320708304643631,0.32463815808296204,100,100,43,55,-0.003929853439331055
d4b,smooth,401,501,1003,40,0.3119259774684906,0.2589380443096161,100,100,100,100,0.05298793315887451
d4b,smooth,401,501,1004,40,0.3029820919036865,0.25976330041885376,100,100,100,100,0.043218791484832764
d4b,smooth,401,501,1005,40,0.32624363899230957,0.3247249722480774,100,100,44,56,0.0015186667442321777
d4b,smooth,401,501,1006,40,0.3193800151348114,0.28928184509277344,100,100,100,100,0.030098170042037964
d4b,smooth,401,501,1007,40,0.2923979163169861,0.25372105836868286,100,100,100,100,0.03867685794830322
d4b,smooth,401,501,1008,40,0.29270023107528687,0.32025146484375,100,100,45,57,-0.027551233768463135
d4b,smooth,401,501,1009,40,0.3049442768096924,0.3342374563217163,100,100,42,54,-0.029293179512023926
d4b,smooth,401,501,1010,40,0.3083340525627136,0.26082557439804077,100,100,100,100,0.04750847816467285
d4b,smooth,402,502,1001,40,0.3219337463378906,0.26114746928215027,100,100,100,100,0.060786277055740356
d4b,smooth,402,502,1002,40,0.33203819394111633,0.28327229619026184,100,100,100,100,0.04876589775085449
d4b,smooth,402,502,1003,40,0.324064701795578,0.2644466459751129,100,100,100,100,0.05961805582046509
d4b,smooth,402,502,1004,40,0.30909204483032227,0.2572285532951355,100,100,100,100,0.05186349153518677
d4b,smooth,402,502,1005,40,0.3378036618232727,0.27518612146377563,100,100,100,100,0.06261754035949707
d4b,smooth,402,502,1006,40,0.32618534564971924,0.2849345803260803,100,100,100,100,0.041250765323638916
d4b,smooth,402,502,1007,40,0.29183468222618103,0.2536294162273407,100,100,100,100,0.03820526599884033
d4b,smooth,402,502,1008,40,0.284253865480423,0.2792922556400299,100,100,100,100,0.004961609840393066
d4b,smooth,402,502,1009,40,0.31082525849342346,0.29071375727653503,100,100,100,100,0.020111501216888428
d4b,smooth,402,502,1010,40,0.31388258934020996,0.2640897333621979,100,100,100,100,0.049792855978012085
d4b,smooth,403,503,1001,40,0.31780147552490234,0.3380981385707855,97,100,34,46,-0.02029666304588318
d4b,smooth,403,503,1002,40,0.32547715306282043,0.3314233422279358,76,88,46,58,-0.0059461891651153564
d4b,smooth,403,503,1003,40,0.32250335812568665,0.33277493715286255,72,84,35,47,-0.010271579027175903
d4b,smooth,403,503,1004,40,0.32193103432655334,0.3302747309207916,82,94,41,53,-0.008343696594238281
d4b,smooth,403,503,1005,40,0.32660219073295593,0.3294355273246765,94,100,36,48,-0.002833336591720581
d4b,smooth,403,503,1006,40,0.3257105052471161,0.3558324873447418,79,91,43,55,-0.030121982097625732
d4b,smooth,403,503,1007,40,0.31872719526290894,0.35810819268226624,55,67,31,43,-0.0393809974193573
d4b,smooth,403,503,1008,40,0.30958837270736694,0.33810898661613464,100,100,36,48,-0.0285206139087677
d4b,smooth,403,503,1009,40,0.326884001493454,0.34088584780693054,57,69,40,52,-0.014001846313476562
d4b,smooth,403,503,1010,40,0.3247024118900299,0.3227866291999817,56,68,32,44,0.0019157826900482178
d4b,smooth,404,504,1001,40,0.29651227593421936,0.3341933488845825,100,100,36,48,-0.03768107295036316
d4b,smooth,404,504,1002,40,0.3083646595478058,0.3228021264076233,100,100,43,55,-0.014437466859817505
d4b,smooth,404,504,1003,40,0.30030450224876404,0.31966841220855713,100,100,36,48,-0.01936390995979309
d4b,smooth,404,504,1004,40,0.2926122844219208,0.25557205080986023,100,100,100,100,0.03704023361206055
d4b,smooth,404,504,1005,40,0.3126753866672516,0.33088770508766174,100,100,39,51,-0.018212318420410156
d4b,smooth,404,504,1006,40,0.30540958046913147,0.3484254479408264,100,100,37,49,-0.043015867471694946
d4b,smooth,404,504,1007,40,0.2676967978477478,0.34168294072151184,100,100,36,48,-0.07398614287376404
d4b,smooth,404,504,1008,40,0.26957741379737854,0.3277806341648102,100,100,42,54,-0.05820322036743164
d4b,smooth,404,504,1009,40,0.2973265051841736,0.33056142926216125,100,100,41,53,-0.03323492407798767
d4b,smooth,404,504,1010,40,0.29581621289253235,0.30789345502853394,100,100,38,50,-0.012077242136001587
d4b,smooth,405,505,1001,40,0.31943851709365845,0.2561887204647064,100,100,100,100,0.06324979662895203
d4b,smooth,405,505,1002,40,0.3179576098918915,0.28403204679489136,100,100,100,100,0.03392556309700012
d4b,smooth,405,505,1003,40,0.3041156828403473,0.2750779688358307,100,100,100,100,0.0290377140045166
d4b,smooth,405,505,1004,40,0.3237433135509491,0.2633117139339447,100,100,100,100,0.060431599617004395
d4b,smooth,405,505,1005,40,0.32495954632759094,0.2668459713459015,100,100,100,100,0.05811357498168945
d4b,smooth,405,505,1006,40,0.32726410031318665,0.35201480984687805,100,100,50,62,-0.024750709533691406
d4b,smooth,405,505,1007,40,0.28913119435310364,0.26150402426719666,100,100,100,100,0.027627170085906982
d4b,smooth,405,505,1008,40,0.31172603368759155,0.28515803813934326,100,100,100,100,0.02656799554824829
d4b,smooth,405,505,1009,40,0.32631656527519226,0.34238284826278687,100,100,44,56,-0.016066282987594604
d4b,smooth,405,505,1010,40,0.3201165199279785,0.26304206252098083,100,100,100,100,0.05707445740699768
