mechanism,omitted_axis,omitted_level,pair_count,two_way_pearson,two_way_spearman
delta_selected_epoch,context,401-501,40,0.7391724853594009,0.6247654784240151
delta_selected_epoch,context,402-502,40,0.8532260650003329,0.8263989877283995
delta_selected_epoch,context,403-503,40,0.876811162339943,0.8874918245988777
delta_selected_epoch,context,404-504,40,0.8264969723345751,0.8221440526455256
delta_selected_epoch,context,405-505,40,0.7946037953355864,0.783620245714079
delta_selected_epoch,model_seed,1001,45,0.8202605223364315,0.7529892293027245
delta_selected_epoch,model_seed,1002,45,0.8293746030384419,0.7961791831357048
delta_selected_epoch,model_seed,1003,45,0.8353798927673287,0.7980237154150197
delta_selected_epoch,model_seed,1004,45,0.7986149968130845,0.7401844532279315
delta_selected_epoch,model_seed,1005,45,0.8213193300275886,0.7737812911725954
delta_selected_epoch,model_seed,1006,45,0.7893862640657718,0.7557312252964428
delta_selected_epoch,model_seed,1007,45,0.8449786312416009,0.8098814229249011
delta_selected_epoch,model_seed,1008,45,0.8678910093839673,0.8347826086956521
delta_selected_epoch,model_seed,1009,45,0.8120821413137191,0.7478260869565216
delta_selected_epoch,model_seed,1010,45,0.8275057808272854,0.7802371541501976
delta_stop_epoch,context,401-501,40,0.754551159709937,0.6485294814583297
delta_stop_epoch,context,402-502,40,0.8606117996545085,0.82433510105227
delta_stop_epoch,context,403-503,40,0.879274135714484,0.8880548348492047
delta_stop_epoch,context,404-504,40,0.8358870768932969,0.8308544529205067
delta_stop_epoch,context,405-505,40,0.814960645441482,0.7884985233122032
delta_stop_epoch,model_seed,1001,45,0.8295107761690426,0.767193675889328
delta_stop_epoch,model_seed,1002,45,0.838787004793132,0.7909351432203422
delta_stop_epoch,model_seed,1003,45,0.845749930807123,0.8065748749304154
delta_stop_epoch,model_seed,1004,45,0.8105136312325548,0.7633572715689555
delta_stop_epoch,model_seed,1005,45,0.8328968673645236,0.7859542806436212
delta_stop_epoch,model_seed,1006,45,0.8030488911258498,0.7691547549467124
delta_stop_epoch,model_seed,1007,45,0.8567232415790439,0.820607419924304
delta_stop_epoch,model_seed,1008,45,0.8684859501479791,0.8324548761162408
delta_stop_epoch,model_seed,1009,45,0.8252745439924549,0.7551222099528238
delta_stop_epoch,model_seed,1010,45,0.8387857645368086,0.7847025512779691
delta_shadow_mae_epoch,context,401-501,40,0.6930490667920062,0.6881185804277228
delta_shadow_mae_epoch,context,402-502,40,0.6692415197631026,0.5810506566604129
delta_shadow_mae_epoch,context,403-503,40,0.6794596745817351,0.6489351750108563
delta_shadow_mae_epoch,context,404-504,40,0.673219787734046,0.611126750039138
delta_shadow_mae_epoch,context,405-505,40,0.5974223277854932,0.5675422138836773
delta_shadow_mae_epoch,model_seed,1001,45,0.5907472841933445,0.5971014492753622
delta_shadow_mae_epoch,model_seed,1002,45,0.7078180881545066,0.7187088274044795
delta_shadow_mae_epoch,model_seed,1003,45,0.636541713183957,0.6042160737812912
delta_shadow_mae_epoch,model_seed,1004,45,0.6174382971206599,0.5971014492753622
delta_shadow_mae_epoch,model_seed,1005,45,0.7119689031345853,0.7026350461133068
delta_shadow_mae_epoch,model_seed,1006,45,0.6639599402022615,0.6401844532279314
delta_shadow_mae_epoch,model_seed,1007,45,0.7194618160852334,0.6886693017127798
delta_shadow_mae_epoch,model_seed,1008,45,0.6437030307097419,0.6201330799411908
delta_shadow_mae_epoch,model_seed,1009,45,0.6223437650443866,0.5563899868247694
delta_shadow_mae_epoch,model_seed,1010,45,0.6612436961926574,0.6274044795783926
delta_selection_shadow_gap,context,401-501,40,-0.3186244145220052,-0.3461538461538462
delta_selection_shadow_gap,context,402-502,40,-0.07751233600965028,-0.018762606146631843
delta_selection_shadow_gap,context,403-503,40,-0.20931485819265241,-0.17667480138426184
delta_selection_shadow_gap,context,404-504,40,-0.20655151267949756,-0.13095684803001878
delta_selection_shadow_gap,context,405-505,40,-0.20655139293774685,-0.16342996600678206
delta_selection_shadow_gap,model_seed,1001,45,-0.04179070649649959,-0.08695652173913042
delta_selection_shadow_gap,model_seed,1002,45,-0.27540080958591795,-0.2814507376131083
delta_selection_shadow_gap,model_seed,1003,45,-0.115463260908743,-0.08616600790513831
delta_selection_shadow_gap,model_seed,1004,45,-0.17483572138288647,-0.16166007905138335
