stage,world,cohort_seed,subset_seed,model_seed,n_train,Delta_MAE,control_mae,time_scaled_mae,control_selected_epoch,control_shadow_mae_epoch,control_stop_epoch,control_early_stop_reason,candidate_selected_epoch,candidate_shadow_mae_epoch,candidate_stop_epoch,candidate_early_stop_reason,control_prefix10_gradient_l2_mean,control_prefix10_parameter_l2_mean,control_prefix10_flow_displacement_mean,candidate_prefix10_gradient_l2_mean,candidate_prefix10_parameter_l2_mean,candidate_prefix10_flow_displacement_mean,delta_selected_epoch,delta_stop_epoch,delta_shadow_mae_epoch,control_selection_shadow_gap,candidate_selection_shadow_gap,delta_selection_shadow_gap,control_patience_exhausted,candidate_patience_exhausted,delta_patience_exhausted,delta_prefix10_gradient_l2_mean,delta_prefix10_parameter_l2_mean
d4b,smooth,401,501,1001,40,-0.0282269120216369,0.3096423745155334,0.3378692865371704,100,100,100,max_epochs_reached,39,7,51,patience_exhausted,1.179046082496643,7.013331699371338,0.0,1.0293024241924287,7.565254545211792,0.2989571124315262,-61,-49,-93,0,32,32,0,1,1,-0.14974365830421443,0.5519228458404539
d4b,smooth,401,501,1002,40,-0.003929853439331,0.320708304643631,0.324638158082962,100,17,100,max_epochs_reached,43,32,55,patience_exhausted,1.1527686834335327,7.00717248916626,0.0,1.4639142274856567,7.568675947189331,0.3237609684467316,-57,-45,15,83,11,-72,0,1,1,0.311145544052124,0.5615034580230711
d4b,smooth,401,501,1003,40,0.0529879331588745,0.3119259774684906,0.2589380443096161,100,11,100,max_epochs_reached,100,100,100,max_epochs_reached,1.1558783292770385,7.105275201797485,0.0,1.275053358078003,7.702829790115357,0.4187867134809494,0,0,89,89,0,-89,0,0,0,0.11917502880096453,0.5975545883178714
d4b,smooth,401,501,1004,40,0.0432187914848327,0.3029820919036865,0.2597633004188537,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,0.9614281713962555,7.054605150222779,0.0,1.4470145225524902,7.676925849914551,0.3079564571380615,0,0,0,0,0,0,0,0,0,0.4855863511562347,0.6223206996917723
d4b,smooth,401,501,1005,40,0.0015186667442321,0.3262436389923095,0.3247249722480774,100,27,100,max_epochs_reached,44,56,56,patience_exhausted,1.3118000864982604,6.993908834457398,0.0,1.1698243379592896,7.563624620437622,0.3134931772947311,-56,-44,29,73,-12,-85,0,1,1,-0.14197574853897077,0.5697157859802244
d4b,smooth,401,501,1006,40,0.0300981700420379,0.3193800151348114,0.2892818450927734,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.112464141845703,7.059608840942383,0.0,1.2070675611495971,7.611313343048096,0.34470795691013334,0,0,0,0,0,0,0,0,0,0.09460341930389404,0.5517045021057125
d4b,smooth,401,501,1007,40,0.0386768579483032,0.2923979163169861,0.2537210583686828,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,0.9186529338359832,7.158376693725586,0.0,1.027263355255127,7.695673942565918,0.2889623880386352,0,0,0,0,0,0,0,0,0,0.10861042141914368,0.537297248840332
d4b,smooth,401,501,1008,40,-0.0275512337684631,0.2927002310752868,0.32025146484375,100,100,100,max_epochs_reached,45,57,57,patience_exhausted,1.104346013069153,7.132468271255493,0.0,1.2605305910110474,7.665399646759033,0.31343694329261773,-55,-43,-43,0,-12,-12,0,1,1,0.15618457794189444,0.5329313755035399
d4b,smooth,401,501,1009,40,-0.0292931795120239,0.3049442768096924,0.3342374563217163,100,100,100,max_epochs_reached,42,53,54,patience_exhausted,1.0219765961170197,7.029968500137329,0.0,1.2599826812744142,7.589973258972168,0.30823622345924373,-58,-46,-47,0,-11,-11,0,1,1,0.2380060851573944,0.5600047588348387
d4b,smooth,401,501,1010,40,0.0475084781646728,0.3083340525627136,0.2608255743980407,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,0.9894655287265778,6.9718152523040775,0.0,1.2752359986305237,7.566733360290527,0.24948118329048152,0,0,0,0,0,0,0,0,0,0.28577046990394595,0.5949181079864498
