stage,world,cohort_seed,subset_seed,model_seed,n_train,n_fit,n_validation,model,variant,optimization_policy,split,site_or_shift,metric,value,trainable_parameters,backend
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,mae,0.3025831580162048,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,rmse,0.4899410723023001,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_roc_auc,0.4974994965600694,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_brier,0.027199469944254,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_log_loss,0.1282343850497311,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3356140655007366,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,mae,0.3025831580162048,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,rmse,0.4899410723023001,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.4974994965600694,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_brier,0.027199469944254,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1282343850497311,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3356140655007366,3556,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,mae,0.273197740316391,4156,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,rmse,0.4451605554320934,4156,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5092399593099537,4156,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_brier,0.0371879757575129,4156,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_log_loss,0.1620374595262042,4156,torch
phase07,smooth,406,506,1101,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.304696796857571,4156,torch
