cell_id_standard,cohort_seed,subset_seed,model_seed,flow_mode,test_mae_standard,epochs_run_standard,stop_epoch_standard,early_stop_reason_standard,would_patience_exhaust_epoch_standard,selected_checkpoint_epoch_standard,shadow_mae_checkpoint_epoch_standard,selected_validation_core_loss_standard,shadow_validation_mae_standard,cell_id_forced,test_mae_forced,epochs_run_forced,stop_epoch_forced,early_stop_reason_forced,would_patience_exhaust_epoch_forced,selected_checkpoint_epoch_forced,shadow_mae_checkpoint_epoch_forced,selected_validation_core_loss_forced,shadow_validation_mae_forced,H_architecture,standard_patience_exhausted,forced_patience_event,checkpoint_epoch_changed,test_mae_changed,patience_epoch_agrees
p07__smooth__cohort406__subset506__model1101__n40__none__standard_early_stop,406,506,1101,none,0.3025831580162048,100,100,max_epochs_reached,,100,100,0.4129202961921692,0.4769470989704132,p07__smooth__cohort406__subset506__model1101__n40__none__forced_horizon,0.3025831580162048,100,100,max_epochs_reached,,100,100,0.4129202961921692,0.4769470989704132,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1101__n40__time_scaled__standard_early_stop,406,506,1101,time_scaled,0.273197740316391,100,100,max_epochs_reached,,100,100,0.3884827792644501,0.44074976444244385,p07__smooth__cohort406__subset506__model1101__n40__time_scaled__forced_horizon,0.273197740316391,100,100,max_epochs_reached,,100,100,0.3884827792644501,0.44074976444244385,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1102__n40__none__standard_early_stop,406,506,1102,none,0.3089674115180969,100,100,max_epochs_reached,,100,100,0.43574047088623047,0.4891360402107239,p07__smooth__cohort406__subset506__model1102__n40__none__forced_horizon,0.3089674115180969,100,100,max_epochs_reached,,100,100,0.43574047088623047,0.4891360402107239,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1102__n40__time_scaled__standard_early_stop,406,506,1102,time_scaled,0.2602082788944244,100,100,max_epochs_reached,,100,100,0.32833626866340637,0.39304232597351074,p07__smooth__cohort406__subset506__model1102__n40__time_scaled__forced_horizon,0.2602082788944244,100,100,max_epochs_reached,,100,100,0.32833626866340637,0.39304232597351074,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1103__n40__none__standard_early_stop,406,506,1103,none,0.2829635143280029,100,100,max_epochs_reached,,100,100,0.38118451833724976,0.43310633301734924,p07__smooth__cohort406__subset506__model1103__n40__none__forced_horizon,0.2829635143280029,100,100,max_epochs_reached,,100,100,0.38118451833724976,0.43310633301734924,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1103__n40__time_scaled__standard_early_stop,406,506,1103,time_scaled,0.2615249454975128,100,100,max_epochs_reached,,100,100,0.33495187759399414,0.3981402814388275,p07__smooth__cohort406__subset506__model1103__n40__time_scaled__forced_horizon,0.2615249454975128,100,100,max_epochs_reached,,100,100,0.33495187759399414,0.3981402814388275,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1104__n40__none__standard_early_stop,406,506,1104,none,0.311658650636673,100,100,max_epochs_reached,,100,100,0.44547945261001587,0.488934725522995,p07__smooth__cohort406__subset506__model1104__n40__none__forced_horizon,0.311658650636673,100,100,max_epochs_reached,,100,100,0.44547945261001587,0.488934725522995,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1104__n40__time_scaled__standard_early_stop,406,506,1104,time_scaled,0.2660888433456421,100,100,max_epochs_reached,,100,100,0.3447044789791107,0.40104731917381287,p07__smooth__cohort406__subset506__model1104__n40__time_scaled__forced_horizon,0.2660888433456421,100,100,max_epochs_reached,,100,100,0.3447044789791107,0.40104731917381287,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1105__n40__none__standard_early_stop,406,506,1105,none,0.3035580515861511,100,100,max_epochs_reached,,100,100,0.433010995388031,0.47774407267570496,p07__smooth__cohort406__subset506__model1105__n40__none__forced_horizon,0.3035580515861511,100,100,max_epochs_reached,,100,100,0.433010995388031,0.47774407267570496,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1105__n40__time_scaled__standard_early_stop,406,506,1105,time_scaled,0.2477027922868728,100,100,max_epochs_reached,,100,100,0.306527316570282,0.38310739398002625,p07__smooth__cohort406__subset506__model1105__n40__time_scaled__forced_horizon,0.2477027922868728,100,100,max_epochs_reached,,100,100,0.306527316570282,0.38310739398002625,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1106__n40__none__standard_early_stop,406,506,1106,none,0.2840568721294403,100,100,max_epochs_reached,,100,100,0.3864670991897583,0.43939635157585144,p07__smooth__cohort406__subset506__model1106__n40__none__forced_horizon,0.2840568721294403,100,100,max_epochs_reached,,100,100,0.3864670991897583,0.43939635157585144,0.0,False,False,False,False,True
